id,customer_number,name,chain_name,segment,country,city,postal_code,street,vat_number,email_domain,phone,credit_limit,payment_terms_days,customer_discount_pct,account_manager_id,created_at,active
11,C-10011,Retkivakka Jyväskylä,Retkivakka,CHAIN_STORE,FI,Jyväskylä,40100,Teollisuustie 51,FI93499529,retkivakka.example,+358 40 879 8773,15000.00,30,5.0,10,2017-06-08,true
12,C-10012,Retkivakka Helsinki,Retkivakka,CHAIN_STORE,FI,Helsinki,00100,Keskuskatu 10,FI38940317,retkivakka.example,+358 40 584 0653,5000.00,30,5.0,8,2022-03-10,true
13,C-10013,Retkivakka Lahti,Retkivakka,CHAIN_STORE,FI,Lahti,15100,Torikatu 81,FI49557274,retkivakka.example,+358 40 045 2936,5000.00,30,12.0,9,2019-11-06,true
14,C-10014,Retkivakka Vaasa Yliopistonkatu,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Torikatu 95,FI70100282,retkivakka.example,+358 40 171 5731,15000.00,30,10.0,9,2021-12-30,false
15,C-10015,Retkivakka Kuopio,Retkivakka,CHAIN_STORE,FI,Kuopio,70100,Teollisuustie 15,FI57723773,retkivakka.example,+358 40 725 6679,10000.00,60,5.0,8,2023-12-22,true
16,C-10016,Retkivakka Joensuu,Retkivakka,CHAIN_STORE,FI,Joensuu,80100,Kauppakatu 102,FI88718390,retkivakka.example,+358 40 602 9692,40000.00,30,0.0,8,2017-10-19,true
17,C-10017,Retkivakka Turku,Retkivakka,CHAIN_STORE,FI,Turku,20100,Yliopistonkatu 53,FI22207531,retkivakka.example,+358 40 579 7890,15000.00,14,7.5,9,2025-12-17,true
18,C-10018,Retkivakka Joensuu Yliopistonkatu,Retkivakka,CHAIN_STORE,FI,Joensuu,80100,Rantatie 2,FI23030402,retkivakka.example,+358 40 257 6229,10000.00,14,12.0,9,2023-11-09,true
19,C-10019,Retkivakka Rovaniemi,Retkivakka,CHAIN_STORE,FI,Rovaniemi,96100,Yliopistonkatu 21,FI16499900,retkivakka.example,+358 40 765 2697,10000.00,30,5.0,9,2025-01-18,true
20,C-10020,Retkivakka Kuopio Hämeenkatu,Retkivakka,CHAIN_STORE,FI,Kuopio,70100,Kauppakatu 31,FI13033677,retkivakka.example,+358 40 366 7241,60000.00,30,5.0,10,2024-03-13,true
21,C-10021,Retkivakka Oulu,Retkivakka,CHAIN_STORE,FI,Oulu,90100,Yliopistonkatu 117,FI53758559,retkivakka.example,+358 40 824 4652,5000.00,30,5.0,9,2018-06-06,true
22,C-10022,Retkivakka Vaasa Mannerheimintie,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Yliopistonkatu 42,FI67019840,retkivakka.example,+358 40 848 4176,25000.00,30,3.0,8,2022-05-03,true
23,C-10023,Retkivakka Hämeenlinna Rantatie,Retkivakka,CHAIN_STORE,FI,Hämeenlinna,13100,Kauppakatu 87,FI35081142,retkivakka.example,+358 40 056 3598,25000.00,45,3.0,10,2017-06-19,true
24,C-10024,Retkivakka Tampere Puistokatu,Retkivakka,CHAIN_STORE,FI,Tampere,33100,Rantatie 65,FI83633066,retkivakka.example,+358 40 834 5985,40000.00,60,0.0,8,2026-06-11,true
25,C-10025,Retkivakka Turku Rantatie,Retkivakka,CHAIN_STORE,FI,Turku,20100,Yliopistonkatu 81,FI73684619,retkivakka.example,+358 40 752 9660,100000.00,30,2.0,10,2025-06-16,true
26,C-10026,Retkivakka Helsinki Keskuskatu,Retkivakka,CHAIN_STORE,FI,Helsinki,00100,Mannerheimintie 11,FI13228417,retkivakka.example,+358 40 695 3225,5000.00,30,10.0,9,2024-02-25,true
27,C-10027,Retkivakka Kokkola,Retkivakka,CHAIN_STORE,FI,Kokkola,67100,Teollisuustie 34,FI91324608,retkivakka.example,+358 40 872 4450,5000.00,14,10.0,9,2016-06-26,true
28,C-10028,Retkivakka Kittilä,Retkivakka,CHAIN_STORE,FI,Kittilä,99100,Puistokatu 107,FI39211555,retkivakka.example,+358 40 576 1059,60000.00,60,3.0,8,2020-10-07,true
29,C-10029,Retkivakka Kittilä Puistokatu,Retkivakka,CHAIN_STORE,FI,Kittilä,99100,Yliopistonkatu 107,FI79702262,retkivakka.example,+358 40 512 5773,10000.00,30,5.0,8,2015-03-07,true
30,C-10030,Retkivakka Kokkola Puistokatu,Retkivakka,CHAIN_STORE,FI,Kokkola,67100,Hämeenkatu 32,FI65697415,retkivakka.example,+358 40 465 1583,15000.00,45,0.0,8,2019-01-01,true
31,C-10031,Retkivakka Vaasa Asemakatu,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Hämeenkatu 16,FI97401400,retkivakka.example,+358 40 966 9399,5000.00,14,5.0,8,2019-02-02,true
32,C-10032,Retkivakka Hämeenlinna Puistokatu,Retkivakka,CHAIN_STORE,FI,Hämeenlinna,13100,Hämeenkatu 23,FI32414102,retkivakka.example,+358 40 692 6675,25000.00,30,10.0,10,2016-08-03,true
33,C-10033,Retkivakka Jyväskylä Hämeenkatu,Retkivakka,CHAIN_STORE,FI,Jyväskylä,40100,Torikatu 27,FI25609198,retkivakka.example,+358 40 350 5140,15000.00,30,0.0,10,2015-03-02,true
34,C-10034,Retkivakka Joensuu Kauppakatu,Retkivakka,CHAIN_STORE,FI,Joensuu,80100,Yliopistonkatu 31,FI98922647,retkivakka.example,+358 40 357 3843,10000.00,14,7.5,8,2015-03-06,true
35,C-10035,Retkivakka Vaasa Keskuskatu,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Teollisuustie 38,FI30441859,retkivakka.example,+358 40 385 3206,100000.00,30,0.0,10,2024-02-28,true
36,C-10036,Retkivakka Oulu Keskuskatu,Retkivakka,CHAIN_STORE,FI,Oulu,90100,Mannerheimintie 92,FI05213752,retkivakka.example,+358 40 195 9026,10000.00,45,2.0,9,2015-09-20,true
37,C-10037,Retkivakka Kuusamo,Retkivakka,CHAIN_STORE,FI,Kuusamo,93600,Kauppakatu 110,FI92387190,retkivakka.example,+358 40 161 8031,5000.00,30,0.0,10,2017-12-03,true
38,C-10038,Retkivakka Vaasa Kauppakatu,Retkivakka,CHAIN_STORE,FI,Vaasa,65100,Hämeenkatu 90,FI62329304,retkivakka.example,+358 40 534 8279,60000.00,60,10.0,10,2018-08-17,true
39,C-10039,Retkivakka Espoo Asemakatu,Retkivakka,CHAIN_STORE,FI,Espoo,02100,Puistokatu 84,FI85364539,retkivakka.example,+358 40 299 2092,10000.00,30,2.0,8,2018-12-25,true
40,C-10040,Retkivakka Hämeenlinna Torikatu,Retkivakka,CHAIN_STORE,FI,Hämeenlinna,13100,Mannerheimintie 104,FI91908944,retkivakka.example,+358 40 216 2307,25000.00,30,7.5,9,2024-05-08,true
41,C-10041,Retkivakka Rovaniemi Torikatu,Retkivakka,CHAIN_STORE,FI,Rovaniemi,96100,Asemakatu 112,FI62451132,retkivakka.example,+358 40 683 6195,40000.00,14,12.0,8,2018-11-23,true
42,C-10042,Retkivakka Rovaniemi Mannerheimintie,Retkivakka,CHAIN_STORE,FI,Rovaniemi,96100,Teollisuustie 57,FI95978907,retkivakka.example,+358 40 938 2948,10000.00,14,3.0,10,2023-03-08,true
43,C-10043,Retkivakka Lahti Keskuskatu,Retkivakka,CHAIN_STORE,FI,Lahti,15100,Keskuskatu 1,FI04967580,retkivakka.example,+358 40 612 4494,40000.00,45,0.0,10,2016-08-07,true
44,C-10044,Retkivakka Hämeenlinna Kauppakatu,Retkivakka,CHAIN_STORE,FI,Hämeenlinna,13100,Torikatu 70,FI95928210,retkivakka.example,+358 40 143 8872,15000.00,30,12.0,9,2025-06-10,false
45,C-10045,Fjellkroken Sport Kiruna,Fjellkroken Sport,CHAIN_STORE,SE,Kiruna,981 31,Norra Esplanaden 93,SE220081579801,fjellkroken.sport.example,+46 70 756 93 99,15000.00,30,0.0,9,2023-05-23,true
46,C-10046,Fjellkroken Sport Karlstad,Fjellkroken Sport,CHAIN_STORE,SE,Karlstad,652 24,Kungsgatan 95,SE619572239301,fjellkroken.sport.example,+46 70 871 34 08,10000.00,30,2.0,10,2021-02-26,true
47,C-10047,Fjellkroken Sport Drammen,Fjellkroken Sport,CHAIN_STORE,NO,Drammen,3015,Industriveien 65,NO006383043MVA,fjellkroken.sport.example,+47 915 34 202,100000.00,45,0.0,8,2016-10-17,true
48,C-10048,Fjellkroken Sport Ålesund,Fjellkroken Sport,CHAIN_STORE,NO,Ålesund,6002,Skoleveien 79,NO833780282MVA,fjellkroken.sport.example,+47 920 59 115,10000.00,30,2.0,8,2019-05-11,true
49,C-10049,Fjellkroken Sport Kristiansand,Fjellkroken Sport,CHAIN_STORE,NO,Kristiansand,4610,Strandveien 106,NO326786380MVA,fjellkroken.sport.example,+47 944 45 280,100000.00,14,3.0,8,2022-10-11,false
50,C-10050,Fjellkroken Sport Linköping,Fjellkroken Sport,CHAIN_STORE,SE,Linköping,582 22,Skolgatan 5,SE960588139301,fjellkroken.sport.example,+46 70 139 09 94,15000.00,45,5.0,10,2025-06-13,true
51,C-10051,Fjellkroken Sport Kiruna Järnvägsgatan,Fjellkroken Sport,CHAIN_STORE,SE,Kiruna,981 31,Hamngatan 99,SE156297194301,fjellkroken.sport.example,+46 70 476 20 37,10000.00,60,0.0,9,2022-05-12,true
52,C-10052,Fjellkroken Sport Kiruna Fjällvägen,Fjellkroken Sport,CHAIN_STORE,SE,Kiruna,981 31,Kungsgatan 86,SE319193998401,fjellkroken.sport.example,+46 70 864 56 00,60000.00,30,0.0,10,2023-05-11,true
53,C-10053,Fjellkroken Sport Stockholm,Fjellkroken Sport,CHAIN_STORE,SE,Stockholm,111 20,Storgatan 98,SE217891739701,fjellkroken.sport.example,+46 70 180 11 05,10000.00,60,12.0,9,2024-08-07,true
54,C-10054,Fjellkroken Sport Östersund,Fjellkroken Sport,CHAIN_STORE,SE,Östersund,831 30,Kungsgatan 21,SE305948210301,fjellkroken.sport.example,+46 70 832 37 47,100000.00,30,12.0,8,2024-12-03,true
55,C-10055,Fjellkroken Sport Sundsvall,Fjellkroken Sport,CHAIN_STORE,SE,Sundsvall,852 30,Storgatan 2,SE589983348501,fjellkroken.sport.example,+46 70 961 89 45,10000.00,30,5.0,9,2018-06-19,true
56,C-10056,Fjellkroken Sport Göteborg,Fjellkroken Sport,CHAIN_STORE,SE,Göteborg,411 04,Storgatan 120,SE344042932101,fjellkroken.sport.example,+46 70 790 64 55,40000.00,30,7.5,10,2018-12-10,true
57,C-10057,Fjellkroken Sport Åre,Fjellkroken Sport,CHAIN_STORE,SE,Åre,837 52,Industrivägen 53,SE553356138701,fjellkroken.sport.example,+46 70 422 56 51,25000.00,60,0.0,9,2020-05-05,true
58,C-10058,Fjellkroken Sport Kristiansand Skoleveien,Fjellkroken Sport,CHAIN_STORE,NO,Kristiansand,4610,Skoleveien 53,NO506126947MVA,fjellkroken.sport.example,+47 983 30 272,5000.00,14,0.0,9,2018-10-28,true
59,C-10059,Fjellkroken Sport Stockholm Industrivägen,Fjellkroken Sport,CHAIN_STORE,SE,Stockholm,111 20,Norra Esplanaden 32,SE167544542001,fjellkroken.sport.example,+46 70 835 34 84,40000.00,45,10.0,8,2026-07-09,true
60,C-10060,Fjellkroken Sport Göteborg Skolgatan,Fjellkroken Sport,CHAIN_STORE,SE,Göteborg,411 04,Norra Esplanaden 76,SE805139581701,fjellkroken.sport.example,+46 70 178 75 01,15000.00,30,12.0,10,2019-06-04,true
61,C-10061,Fjellkroken Sport Hamar,Fjellkroken Sport,CHAIN_STORE,NO,Hamar,2317,Kirkegata 27,NO759799981MVA,fjellkroken.sport.example,+47 968 11 074,25000.00,30,5.0,9,2026-08-19,true
62,C-10062,Fjellkroken Sport Uppsala,Fjellkroken Sport,CHAIN_STORE,SE,Uppsala,753 10,Norra Esplanaden 118,SE893043708701,fjellkroken.sport.example,+46 70 178 60 39,25000.00,30,3.0,8,2021-05-23,true
63,C-10063,Fjellkroken Sport Linköping Skolgatan,Fjellkroken Sport,CHAIN_STORE,SE,Linköping,582 22,Storgatan 76,SE845878745001,fjellkroken.sport.example,+46 70 866 29 46,40000.00,60,2.0,10,2023-12-02,true
64,C-10064,Fjellkroken Sport Oslo,Fjellkroken Sport,CHAIN_STORE,NO,Oslo,0150,Industriveien 66,NO191302130MVA,fjellkroken.sport.example,+47 960 08 938,40000.00,14,3.0,8,2017-07-18,false
65,C-10065,Fjellkroken Sport Göteborg Järnvägsgatan,Fjellkroken Sport,CHAIN_STORE,SE,Göteborg,411 04,Kungsgatan 52,SE791572360901,fjellkroken.sport.example,+46 70 267 63 06,10000.00,30,5.0,10,2018-06-28,true
66,C-10066,Fjellkroken Sport Hamar Torggata,Fjellkroken Sport,CHAIN_STORE,NO,Hamar,2317,Fjellveien 120,NO147826225MVA,fjellkroken.sport.example,+47 977 81 936,5000.00,14,0.0,8,2024-11-22,true
67,C-10067,Fjellkroken Sport Tromsø Skoleveien,Fjellkroken Sport,CHAIN_STORE,NO,Tromsø,9008,Industriveien 116,NO969304836MVA,fjellkroken.sport.example,+47 929 25 678,25000.00,30,12.0,8,2024-06-15,true
68,C-10068,Fjellkroken Sport Lillehammer,Fjellkroken Sport,CHAIN_STORE,NO,Lillehammer,2609,Fjellveien 23,NO441216073MVA,fjellkroken.sport.example,+47 981 62 529,100000.00,30,10.0,8,2017-05-29,true
69,C-10069,Fjellkroken Sport Åre Drottninggatan,Fjellkroken Sport,CHAIN_STORE,SE,Åre,837 52,Drottninggatan 33,SE065527104101,fjellkroken.sport.example,+46 70 205 90 16,10000.00,30,7.5,8,2025-12-22,true
70,C-10070,Fjellkroken Sport Uppsala Drottninggatan,Fjellkroken Sport,CHAIN_STORE,SE,Uppsala,753 10,Fjällvägen 82,SE295671841901,fjellkroken.sport.example,+46 70 592 15 40,5000.00,30,0.0,8,2015-01-07,true
71,C-10071,Fjellkroken Sport Oslo Storgata,Fjellkroken Sport,CHAIN_STORE,NO,Oslo,0150,Storgata 50,NO508818684MVA,fjellkroken.sport.example,+47 913 64 295,100000.00,60,0.0,9,2016-04-28,true
72,C-10072,Fjellkroken Sport Stavanger,Fjellkroken Sport,CHAIN_STORE,NO,Stavanger,4006,Strandveien 118,NO511174026MVA,fjellkroken.sport.example,+47 962 33 818,15000.00,14,10.0,10,2021-03-29,true
73,C-10073,Fjellkroken Sport Lillehammer Strandveien,Fjellkroken Sport,CHAIN_STORE,NO,Lillehammer,2609,Strandveien 101,NO932683407MVA,fjellkroken.sport.example,+47 939 52 749,100000.00,14,5.0,8,2016-06-05,true
74,C-10074,Fjellkroken Sport Bodø,Fjellkroken Sport,CHAIN_STORE,NO,Bodø,8006,Industriveien 47,NO918770529MVA,fjellkroken.sport.example,+47 985 19 241,10000.00,45,0.0,8,2016-09-05,true
75,C-10075,Fjellkroken Sport Luleå,Fjellkroken Sport,CHAIN_STORE,SE,Luleå,972 31,Industrivägen 76,SE934081490701,fjellkroken.sport.example,+46 70 418 51 31,5000.00,45,0.0,8,2021-05-01,true
76,C-10076,Fjellkroken Sport Stavanger Industriveien,Fjellkroken Sport,CHAIN_STORE,NO,Stavanger,4006,Fjellveien 21,NO780284448MVA,fjellkroken.sport.example,+47 924 52 249,100000.00,60,0.0,10,2022-10-17,true
77,C-10077,Fjellkroken Sport Karlstad Storgatan,Fjellkroken Sport,CHAIN_STORE,SE,Karlstad,652 24,Fjällvägen 63,SE131908831301,fjellkroken.sport.example,+46 70 502 66 04,40000.00,60,7.5,9,2020-11-20,false
78,C-10078,Fjellkroken Sport Luleå Storgatan,Fjellkroken Sport,CHAIN_STORE,SE,Luleå,972 31,Drottninggatan 22,SE484453785401,fjellkroken.sport.example,+46 70 099 79 97,5000.00,30,2.0,10,2022-05-30,true
79,C-10079,Fjellkroken Sport Falun,Fjellkroken Sport,CHAIN_STORE,SE,Falun,791 71,Industrivägen 76,SE276123853001,fjellkroken.sport.example,+46 70 136 05 84,5000.00,30,10.0,8,2018-07-04,true
80,C-10080,Fjellkroken Sport Tromsø Storgata,Fjellkroken Sport,CHAIN_STORE,NO,Tromsø,9008,Industriveien 76,NO982641736MVA,fjellkroken.sport.example,+47 965 02 953,40000.00,45,5.0,9,2026-01-18,true
81,C-10081,Fjellkroken Sport Linköping Storgatan,Fjellkroken Sport,CHAIN_STORE,SE,Linköping,582 22,Järnvägsgatan 50,SE613847610001,fjellkroken.sport.example,+46 70 165 60 51,10000.00,30,7.5,8,2022-03-03,true
82,C-10082,Fjellkroken Sport Kristiansand Storgata,Fjellkroken Sport,CHAIN_STORE,NO,Kristiansand,4610,Torggata 71,NO901358472MVA,fjellkroken.sport.example,+47 904 87 245,10000.00,14,12.0,10,2016-07-22,true
83,C-10083,Fjellkroken Sport Bergen,Fjellkroken Sport,CHAIN_STORE,NO,Bergen,5003,Kirkegata 41,NO372139803MVA,fjellkroken.sport.example,+47 979 39 679,40000.00,30,0.0,10,2019-11-01,true
84,C-10084,Fjellkroken Sport Drammen Torggata,Fjellkroken Sport,CHAIN_STORE,NO,Drammen,3015,Storgata 8,NO890062526MVA,fjellkroken.sport.example,+47 947 13 589,15000.00,14,5.0,8,2015-11-13,true
85,C-10085,Fjellkroken Sport Östersund Järnvägsgatan,Fjellkroken Sport,CHAIN_STORE,SE,Östersund,831 30,Industrivägen 107,SE487388037201,fjellkroken.sport.example,+46 70 991 22 66,60000.00,30,0.0,8,2022-05-02,true
86,C-10086,Fjellkroken Sport Sundsvall Drottninggatan,Fjellkroken Sport,CHAIN_STORE,SE,Sundsvall,852 30,Hamngatan 66,SE556844543601,fjellkroken.sport.example,+46 70 901 10 95,60000.00,45,7.5,8,2025-08-29,false
87,C-10087,Fjellkroken Sport Kristiansand Torggata,Fjellkroken Sport,CHAIN_STORE,NO,Kristiansand,4610,Industriveien 91,NO170567231MVA,fjellkroken.sport.example,+47 932 55 436,100000.00,45,0.0,10,2018-10-24,true
88,C-10088,Fjellkroken Sport Uppsala Storgatan,Fjellkroken Sport,CHAIN_STORE,SE,Uppsala,753 10,Fjällvägen 7,SE386715079701,fjellkroken.sport.example,+46 70 083 77 88,100000.00,30,2.0,10,2021-12-02,true
89,C-10089,Fjellkroken Sport Bergen Havnegata,Fjellkroken Sport,CHAIN_STORE,NO,Bergen,5003,Torggata 44,NO891297853MVA,fjellkroken.sport.example,+47 949 19 901,10000.00,30,2.0,8,2018-09-09,true
90,C-10090,Fjellkroken Sport Stockholm Hamngatan,Fjellkroken Sport,CHAIN_STORE,SE,Stockholm,111 20,Hamngatan 119,SE618914332801,fjellkroken.sport.example,+46 70 606 13 14,40000.00,30,0.0,10,2018-08-09,true
91,C-10091,Stigfinnare Esbjerg,Stigfinnare,CHAIN_STORE,DK,Esbjerg,6700,Hovedgaden 34,DK31682191,stigfinnare.example,+45 30 19 87 98,5000.00,30,5.0,8,2023-08-04,true
92,C-10092,Stigfinnare Åre,Stigfinnare,CHAIN_STORE,SE,Åre,837 52,Skolgatan 110,SE996392920101,stigfinnare.example,+46 70 723 33 76,15000.00,30,2.0,8,2015-01-23,true
93,C-10093,Stigfinnare Aalborg,Stigfinnare,CHAIN_STORE,DK,Aalborg,9000,Vestergade 28,DK96856120,stigfinnare.example,+45 03 98 72 35,10000.00,45,5.0,8,2016-05-19,true
94,C-10094,Stigfinnare Kolding,Stigfinnare,CHAIN_STORE,DK,Kolding,6000,Industrivej 61,DK04021684,stigfinnare.example,+45 85 66 87 68,10000.00,14,12.0,9,2020-05-24,true
95,C-10095,Stigfinnare Copenhagen,Stigfinnare,CHAIN_STORE,DK,Copenhagen,1050,Vestergade 73,DK37189070,stigfinnare.example,+45 51 66 91 34,40000.00,45,0.0,8,2024-08-06,true
96,C-10096,Stigfinnare Copenhagen Hovedgaden,Stigfinnare,CHAIN_STORE,DK,Copenhagen,1050,Nørregade 35,DK37978285,stigfinnare.example,+45 19 61 22 85,25000.00,30,5.0,10,2026-07-26,false
97,C-10097,Stigfinnare Uppsala,Stigfinnare,CHAIN_STORE,SE,Uppsala,753 10,Skolgatan 81,SE249939330201,stigfinnare.example,+46 70 591 70 33,40000.00,30,10.0,8,2023-05-14,true
98,C-10098,Stigfinnare Odense,Stigfinnare,CHAIN_STORE,DK,Odense,5000,Skolevej 23,DK88716825,stigfinnare.example,+45 76 32 02 61,5000.00,45,0.0,10,2023-08-28,false
99,C-10099,Stigfinnare Odense Havnevej,Stigfinnare,CHAIN_STORE,DK,Odense,5000,Havnevej 98,DK69114920,stigfinnare.example,+45 49 32 15 28,40000.00,30,0.0,9,2018-06-12,true
100,C-10100,Stigfinnare Copenhagen Havnevej,Stigfinnare,CHAIN_STORE,DK,Copenhagen,1050,Vestergade 52,DK09645837,stigfinnare.example,+45 34 12 85 33,40000.00,14,3.0,9,2026-02-28,true
101,C-10101,Stigfinnare Aarhus,Stigfinnare,CHAIN_STORE,DK,Aarhus,8000,Nørregade 8,DK12971113,stigfinnare.example,+45 73 59 77 73,15000.00,14,5.0,9,2018-09-17,true
102,C-10102,Stigfinnare Stockholm,Stigfinnare,CHAIN_STORE,SE,Stockholm,111 20,Järnvägsgatan 31,SE260723280801,stigfinnare.example,+46 70 823 63 33,40000.00,30,7.5,9,2026-08-10,true
103,C-10103,Stigfinnare Umeå Industrivägen,Stigfinnare,CHAIN_STORE,SE,Umeå,903 26,Skolgatan 79,SE679780644701,stigfinnare.example,+46 70 189 61 87,100000.00,30,5.0,9,2021-10-14,true
104,C-10104,Stigfinnare Örebro,Stigfinnare,CHAIN_STORE,SE,Örebro,702 11,Järnvägsgatan 62,SE363958776901,stigfinnare.example,+46 70 900 99 92,15000.00,30,5.0,10,2021-02-24,true
105,C-10105,Stigfinnare Roskilde,Stigfinnare,CHAIN_STORE,DK,Roskilde,4000,Havnevej 57,DK32967043,stigfinnare.example,+45 93 60 03 01,40000.00,14,5.0,9,2024-02-07,true
106,C-10106,Stigfinnare Kiruna,Stigfinnare,CHAIN_STORE,SE,Kiruna,981 31,Norra Esplanaden 36,SE511384230601,stigfinnare.example,+46 70 903 91 24,15000.00,30,7.5,9,2022-07-17,true
107,C-10107,Stigfinnare Esbjerg Østergade,Stigfinnare,CHAIN_STORE,DK,Esbjerg,6700,Skolevej 27,DK70575438,stigfinnare.example,+45 08 80 62 48,100000.00,30,2.0,10,2017-03-13,true
108,C-10108,Stigfinnare Falun,Stigfinnare,CHAIN_STORE,SE,Falun,791 71,Industrivägen 76,SE328645108901,stigfinnare.example,+46 70 963 96 04,5000.00,30,0.0,9,2024-09-09,true
109,C-10109,Stigfinnare Odense Østergade,Stigfinnare,CHAIN_STORE,DK,Odense,5000,Industrivej 112,DK58780944,stigfinnare.example,+45 98 40 10 57,15000.00,30,7.5,9,2017-07-30,true
110,C-10110,Stigfinnare Aarhus Østergade,Stigfinnare,CHAIN_STORE,DK,Aarhus,8000,Østergade 111,DK32657601,stigfinnare.example,+45 97 26 60 92,100000.00,30,0.0,8,2021-10-09,true
111,C-10111,Stigfinnare Karlstad,Stigfinnare,CHAIN_STORE,SE,Karlstad,652 24,Fjällvägen 72,SE722118367901,stigfinnare.example,+46 70 448 13 37,60000.00,14,2.0,9,2017-02-17,true
112,C-10112,Stigfinnare Karlstad Drottninggatan,Stigfinnare,CHAIN_STORE,SE,Karlstad,652 24,Storgatan 22,SE483741822601,stigfinnare.example,+46 70 814 30 93,25000.00,30,10.0,8,2021-05-13,true
113,C-10113,Stigfinnare Sundsvall,Stigfinnare,CHAIN_STORE,SE,Sundsvall,852 30,Järnvägsgatan 49,SE718319771501,stigfinnare.example,+46 70 465 13 40,40000.00,60,2.0,9,2026-03-07,true
114,C-10114,Stigfinnare Falun Norra,Stigfinnare,CHAIN_STORE,SE,Falun,791 71,Skolgatan 114,SE712985058001,stigfinnare.example,+46 70 940 73 08,60000.00,30,7.5,10,2018-06-16,true
115,C-10115,Stigfinnare Östersund,Stigfinnare,CHAIN_STORE,SE,Östersund,831 30,Järnvägsgatan 45,SE362734780601,stigfinnare.example,+46 70 232 57 26,100000.00,60,12.0,10,2024-01-13,true
116,C-10116,Stigfinnare Esbjerg Nørregade,Stigfinnare,CHAIN_STORE,DK,Esbjerg,6700,Østergade 103,DK08249432,stigfinnare.example,+45 25 26 23 27,5000.00,45,3.0,8,2026-07-11,true
117,C-10117,Stigfinnare Aalborg Industrivej,Stigfinnare,CHAIN_STORE,DK,Aalborg,9000,Nørregade 81,DK35843190,stigfinnare.example,+45 54 84 15 00,60000.00,14,5.0,8,2015-03-28,true
118,C-10118,Stigfinnare Odense Industrivej,Stigfinnare,CHAIN_STORE,DK,Odense,5000,Skolevej 52,DK27695782,stigfinnare.example,+45 24 88 09 15,40000.00,14,0.0,10,2020-09-02,true
119,C-10119,Stigfinnare Aarhus Havnevej,Stigfinnare,CHAIN_STORE,DK,Aarhus,8000,Nørregade 64,DK71708476,stigfinnare.example,+45 09 10 73 37,25000.00,30,12.0,9,2015-02-23,true
120,C-10120,Stigfinnare Stockholm Fjällvägen,Stigfinnare,CHAIN_STORE,SE,Stockholm,111 20,Norra Esplanaden 21,SE927470578301,stigfinnare.example,+46 70 173 26 04,60000.00,30,0.0,9,2021-04-25,true
121,C-10121,Stigfinnare Gävle,Stigfinnare,CHAIN_STORE,SE,Gävle,803 20,Järnvägsgatan 120,SE640842613601,stigfinnare.example,+46 70 317 54 40,100000.00,30,0.0,8,2016-02-12,true
