id,product_id,list_price,currency,valid_from,valid_to,reason,created_by,created_at
46,11,272.90,EUR,2021-01-01,2021-06-30,Annual price update,6,2020-12-18 11:42:00
47,11,282.50,EUR,2021-07-01,2025-12-31,Supplier increase,7,2021-06-06 16:25:00
48,11,289.90,EUR,2026-01-01,2026-06-30,Supplier increase,6,2025-12-05 09:43:00
49,11,281.00,EUR,2026-07-01,,Competitive adjustment,6,2026-06-03 09:17:00
50,12,236.50,EUR,2020-02-26,2020-06-30,Initial listing,6,2020-02-11 09:58:00
51,12,229.50,EUR,2020-07-01,2021-06-30,Competitive adjustment,7,2020-06-22 08:00:00
52,12,218.00,EUR,2021-07-01,2023-06-30,Clearance,7,2021-06-05 10:41:00
53,12,222.50,EUR,2023-07-01,2023-12-31,Currency adjustment,7,2023-06-28 15:56:00
54,12,229.00,EUR,2024-01-01,2024-12-31,Supplier increase,7,2023-12-18 14:40:00
55,12,240.50,EUR,2025-01-01,2025-12-31,Range repositioning,6,2024-12-06 15:51:00
56,12,252.90,EUR,2026-01-01,,Supplier increase,7,2025-12-06 08:49:00
57,13,237.00,EUR,2025-03-25,2025-06-30,Initial listing,6,2025-03-01 14:08:00
58,13,245.50,EUR,2025-07-01,,Annual price update,7,2025-06-09 16:36:00
59,14,227.50,EUR,2019-09-07,2021-12-31,Initial listing,7,2019-08-27 12:47:00
60,14,216.00,EUR,2022-01-01,2024-06-30,Competitive adjustment,7,2021-12-11 08:47:00
61,14,221.50,EUR,2024-07-01,2025-06-30,Cost update,6,2024-06-16 12:12:00
62,14,227.00,EUR,2025-07-01,,Cost update,7,2025-06-10 08:11:00
63,15,318.90,EUR,2026-02-27,,Initial listing,6,2026-02-20 12:43:00
64,16,317.90,EUR,2025-11-26,2025-12-31,Initial listing,7,2025-11-19 13:58:00
65,16,330.90,EUR,2026-01-01,2026-06-30,Range repositioning,6,2025-12-12 12:10:00
66,16,337.90,EUR,2026-07-01,,Supplier increase,6,2026-06-03 11:32:00
67,17,311.00,EUR,2023-03-08,2023-12-31,Initial listing,7,2023-02-22 09:46:00
68,17,295.50,EUR,2024-01-01,2024-06-30,Competitive adjustment,7,2023-12-20 11:38:00
69,17,301.50,EUR,2024-07-01,2024-12-31,Currency adjustment,7,2024-06-28 13:53:00
70,17,319.90,EUR,2025-01-01,2026-06-30,Range repositioning,7,2024-12-03 14:37:00
71,17,335.90,EUR,2026-07-01,,Currency adjustment,6,2026-06-02 14:50:00
72,18,60.50,EUR,2025-07-03,2025-12-31,Initial listing,7,2025-06-19 14:48:00
73,18,62.00,EUR,2026-01-01,,Annual price update,7,2025-12-14 16:03:00
74,19,64.50,EUR,2019-11-17,2022-06-30,Initial listing,6,2019-10-25 14:33:00
75,19,66.90,EUR,2022-07-01,2022-12-31,Range repositioning,7,2022-06-02 12:11:00
76,19,70.50,EUR,2023-01-01,2023-06-30,Range repositioning,7,2022-12-04 11:23:00
77,19,74.90,EUR,2023-07-01,2023-12-31,Supplier increase,6,2023-06-24 12:55:00
78,19,79.50,EUR,2024-01-01,2025-12-31,Range repositioning,7,2023-12-26 08:01:00
79,19,84.50,EUR,2026-01-01,,Currency adjustment,7,2025-12-24 10:35:00
80,20,62.50,EUR,2022-11-06,2022-12-31,Initial listing,7,2022-10-25 09:04:00
81,20,63.90,EUR,2023-01-01,2023-06-30,Cost update,6,2022-12-18 10:51:00
82,20,65.90,EUR,2023-07-01,2025-06-30,Range repositioning,6,2023-06-18 09:18:00
83,20,69.50,EUR,2025-07-01,2026-06-30,Range repositioning,7,2025-06-20 14:56:00
84,20,66.00,EUR,2026-07-01,,Clearance,6,2026-06-05 16:56:00
85,21,63.90,EUR,2024-05-08,2024-06-30,Initial listing,7,2024-05-03 10:19:00
86,21,65.90,EUR,2024-07-01,2024-12-31,Cost update,7,2024-06-06 12:51:00
87,21,67.90,EUR,2025-01-01,,Annual price update,6,2024-12-13 09:39:00
88,22,218.90,EUR,2022-11-09,2023-12-31,Initial listing,6,2022-10-25 15:06:00
89,22,226.90,EUR,2024-01-01,2025-12-31,Currency adjustment,7,2023-12-06 12:29:00
90,22,233.90,EUR,2026-01-01,,Currency adjustment,6,2025-12-18 11:17:00
91,23,211.00,EUR,2024-08-27,2024-12-31,Initial listing,6,2024-08-03 16:09:00
92,23,218.50,EUR,2025-01-01,2025-12-31,Currency adjustment,7,2024-12-14 14:35:00
93,23,211.90,EUR,2026-01-01,,Competitive adjustment,7,2025-12-20 11:59:00
94,24,227.90,EUR,2026-03-06,2026-06-30,Initial listing,6,2026-02-26 16:37:00
95,24,237.00,EUR,2026-07-01,,Supplier increase,7,2026-06-22 11:31:00
96,25,212.90,EUR,2023-12-17,2023-12-31,Initial listing,6,2023-11-19 08:39:00
97,25,223.90,EUR,2024-01-01,2024-12-31,Range repositioning,7,2023-12-05 08:00:00
98,25,232.90,EUR,2025-01-01,2026-06-30,Supplier increase,6,2024-12-23 14:16:00
99,25,242.50,EUR,2026-07-01,,Currency adjustment,6,2026-06-13 13:53:00
100,26,230.50,EUR,2022-04-03,2022-12-31,Initial listing,7,2022-03-11 08:45:00
101,26,238.90,EUR,2023-01-01,2023-06-30,Cost update,7,2022-12-10 15:34:00
102,26,226.90,EUR,2023-07-01,2023-12-31,Clearance,7,2023-06-05 08:43:00
103,26,238.50,EUR,2024-01-01,2025-06-30,Annual price update,6,2023-12-09 13:01:00
104,26,252.90,EUR,2025-07-01,2025-12-31,Supplier increase,6,2025-06-12 09:09:00
105,26,261.90,EUR,2026-01-01,,Supplier increase,6,2025-12-22 15:08:00
106,27,545.00,EUR,2022-03-02,2023-06-30,Initial listing,6,2022-02-03 09:55:00
107,27,566.90,EUR,2023-07-01,2023-12-31,Currency adjustment,7,2023-06-07 13:31:00
108,27,549.90,EUR,2024-01-01,2025-06-30,Competitive adjustment,7,2023-12-16 16:07:00
109,27,533.50,EUR,2025-07-01,,Competitive adjustment,7,2025-06-02 09:47:00
110,28,583.00,EUR,2022-06-30,2024-06-30,Initial listing,7,2022-06-15 08:28:00
111,28,553.90,EUR,2024-07-01,2025-06-30,Competitive adjustment,7,2024-06-02 09:10:00
112,28,576.00,EUR,2025-07-01,,Cost update,7,2025-06-04 10:21:00
113,29,533.90,EUR,2024-08-23,2024-12-31,Initial listing,7,2024-08-18 10:54:00
114,29,560.90,EUR,2025-01-01,2025-06-30,Currency adjustment,6,2024-12-28 13:32:00
115,29,580.90,EUR,2025-07-01,2026-06-30,Supplier increase,6,2025-06-18 08:40:00
116,29,609.90,EUR,2026-07-01,,Supplier increase,6,2026-06-12 08:45:00
117,30,557.90,EUR,2025-01-27,2026-06-30,Initial listing,6,2025-01-06 08:26:00
118,30,580.50,EUR,2026-07-01,,Annual price update,6,2026-06-13 14:25:00
119,31,597.90,EUR,2023-12-14,2026-06-30,Initial listing,7,2023-11-27 10:46:00
120,31,615.90,EUR,2026-07-01,,Cost update,7,2026-06-05 16:45:00
121,32,593.50,EUR,2019-09-04,2019-12-31,Initial listing,6,2019-08-15 11:24:00
122,32,623.00,EUR,2020-01-01,2023-06-30,Supplier increase,6,2019-12-15 09:47:00
123,32,647.90,EUR,2023-07-01,2024-06-30,Annual price update,7,2023-06-08 11:47:00
124,32,686.90,EUR,2024-07-01,2025-06-30,Range repositioning,6,2024-06-01 08:33:00
125,32,714.50,EUR,2025-07-01,,Range repositioning,7,2025-06-18 11:22:00
126,33,589.50,EUR,2021-07-03,2021-12-31,Initial listing,7,2021-06-09 10:53:00
127,33,613.00,EUR,2022-01-01,2023-12-31,Currency adjustment,7,2021-12-08 10:16:00
128,33,625.50,EUR,2024-01-01,2025-12-31,Currency adjustment,7,2023-12-14 12:01:00
129,33,641.00,EUR,2026-01-01,,Cost update,7,2025-12-03 15:42:00
130,34,621.90,EUR,2021-08-20,2023-06-30,Initial listing,6,2021-07-26 11:39:00
131,34,590.90,EUR,2023-07-01,2024-06-30,Competitive adjustment,7,2023-06-13 15:38:00
132,34,611.90,EUR,2024-07-01,2025-06-30,Cost update,6,2024-06-27 12:28:00
133,34,636.50,EUR,2025-07-01,,Currency adjustment,7,2025-06-11 14:25:00
134,35,31.59,EUR,2021-12-03,2021-12-31,Initial listing,7,2021-11-14 09:03:00
135,35,30.01,EUR,2022-01-01,2024-06-30,Clearance,6,2021-12-13 13:51:00
136,35,30.91,EUR,2024-07-01,2024-12-31,Annual price update,6,2024-06-03 12:44:00
137,35,31.84,EUR,2025-01-01,2025-06-30,Cost update,7,2024-12-13 14:25:00
138,35,32.80,EUR,2025-07-01,2025-12-31,Annual price update,7,2025-06-14 15:21:00
139,35,33.95,EUR,2026-01-01,2026-06-30,Cost update,6,2025-12-21 13:12:00
140,35,32.93,EUR,2026-07-01,,Competitive adjustment,6,2026-06-05 09:56:00
141,36,27.75,EUR,2024-03-12,2024-06-30,Initial listing,7,2024-02-12 12:58:00
142,36,29.14,EUR,2024-07-01,2025-06-30,Currency adjustment,7,2024-06-09 15:41:00
143,36,27.68,EUR,2025-07-01,,Clearance,7,2025-06-27 15:34:00
144,37,30.18,EUR,2024-12-05,2024-12-31,Initial listing,6,2024-11-29 15:59:00
145,37,29.27,EUR,2025-01-01,2025-06-30,Competitive adjustment,6,2024-12-12 13:52:00
146,37,30.29,EUR,2025-07-01,2025-12-31,Cost update,7,2025-06-28 10:11:00
147,37,30.90,EUR,2026-01-01,2026-06-30,Cost update,6,2025-12-15 12:39:00
148,37,29.97,EUR,2026-07-01,,Clearance,7,2026-06-27 15:04:00
149,38,31.02,EUR,2021-01-11,2021-06-30,Initial listing,6,2021-01-01 13:50:00
150,38,29.47,EUR,2021-07-01,2021-12-31,Clearance,7,2021-06-04 09:19:00
151,38,28.59,EUR,2022-01-01,2022-12-31,Clearance,7,2021-12-20 14:32:00
152,38,30.02,EUR,2023-01-01,2024-06-30,Annual price update,7,2022-12-29 09:27:00
153,38,29.12,EUR,2024-07-01,2024-12-31,Clearance,6,2024-06-28 13:35:00
154,38,30.58,EUR,2025-01-01,2025-12-31,Currency adjustment,6,2024-12-15 16:37:00
155,38,31.19,EUR,2026-01-01,,Cost update,6,2025-12-21 15:33:00
156,39,57.90,EUR,2025-07-01,,Initial listing,7,2025-06-14 13:55:00
157,40,52.90,EUR,2022-04-20,2023-06-30,Initial listing,6,2022-03-29 12:12:00
158,40,55.90,EUR,2023-07-01,2024-12-31,Annual price update,7,2023-06-04 15:40:00
159,40,57.50,EUR,2025-01-01,,Annual price update,7,2024-12-10 12:30:00
160,41,56.90,EUR,2020-06-27,2020-06-30,Initial listing,6,2020-06-09 11:57:00
161,41,58.90,EUR,2020-07-01,2021-06-30,Annual price update,6,2020-06-22 16:49:00
162,41,57.00,EUR,2021-07-01,2021-12-31,Clearance,7,2021-06-19 13:01:00
163,41,60.50,EUR,2022-01-01,2022-12-31,Annual price update,7,2021-12-15 08:26:00
164,41,57.90,EUR,2023-01-01,2025-06-30,Competitive adjustment,7,2022-12-22 14:35:00
165,41,60.90,EUR,2025-07-01,2026-06-30,Annual price update,7,2025-06-08 09:22:00
166,41,63.90,EUR,2026-07-01,,Annual price update,7,2026-06-16 11:33:00
167,42,58.00,EUR,2024-06-26,,Initial listing,6,2024-06-12 12:28:00
168,43,206.90,EUR,2023-12-22,2023-12-31,Initial listing,6,2023-12-06 13:25:00
169,43,212.00,EUR,2024-01-01,2024-12-31,Supplier increase,7,2023-12-07 16:42:00
170,43,216.50,EUR,2025-01-01,2025-06-30,Cost update,7,2024-12-04 11:12:00
171,43,220.90,EUR,2025-07-01,2025-12-31,Currency adjustment,7,2025-06-25 12:06:00
172,43,214.50,EUR,2026-01-01,2026-06-30,Competitive adjustment,6,2025-12-09 12:50:00
173,43,203.90,EUR,2026-07-01,,Clearance,6,2026-06-21 09:46:00
174,44,190.90,EUR,2025-04-28,2025-06-30,Initial listing,7,2025-04-05 14:52:00
175,44,202.50,EUR,2025-07-01,,Range repositioning,6,2025-06-11 13:54:00
176,45,192.90,EUR,2020-12-17,2020-12-31,Initial listing,6,2020-12-11 14:42:00
177,45,198.90,EUR,2021-01-01,2021-06-30,Supplier increase,6,2020-12-16 14:54:00
178,45,188.90,EUR,2021-07-01,2022-06-30,Competitive adjustment,6,2021-06-02 12:04:00
179,45,195.90,EUR,2022-07-01,2023-06-30,Currency adjustment,7,2022-06-21 09:38:00
180,45,205.90,EUR,2023-07-01,2023-12-31,Annual price update,6,2023-06-06 10:40:00
181,45,218.50,EUR,2024-01-01,2024-06-30,Supplier increase,7,2023-12-23 11:58:00
182,45,227.50,EUR,2024-07-01,2024-12-31,Supplier increase,7,2024-06-01 11:06:00
183,45,233.00,EUR,2025-01-01,2025-12-31,Cost update,7,2024-12-28 12:33:00
184,45,238.90,EUR,2026-01-01,,Range repositioning,6,2025-12-22 08:25:00
185,46,266.90,EUR,2019-07-26,2020-06-30,Initial listing,6,2019-07-07 08:20:00
186,46,277.90,EUR,2020-07-01,2022-06-30,Supplier increase,6,2020-06-16 12:05:00
187,46,284.90,EUR,2022-07-01,2025-06-30,Range repositioning,7,2022-06-05 09:28:00
188,46,293.50,EUR,2025-07-01,,Annual price update,6,2025-06-08 10:04:00
189,47,275.90,EUR,2023-02-12,2023-06-30,Initial listing,7,2023-01-31 14:11:00
190,47,267.90,EUR,2023-07-01,2023-12-31,Competitive adjustment,7,2023-06-20 16:15:00
191,47,278.90,EUR,2024-01-01,2025-06-30,Currency adjustment,7,2023-12-15 11:10:00
192,47,287.50,EUR,2025-07-01,2026-06-30,Range repositioning,6,2025-06-20 12:33:00
193,47,273.00,EUR,2026-07-01,,Competitive adjustment,6,2026-06-09 10:55:00
194,48,584.00,EUR,2022-11-01,2022-12-31,Initial listing,6,2022-10-28 11:19:00
195,48,554.90,EUR,2023-01-01,2023-12-31,Competitive adjustment,7,2022-12-22 09:11:00
196,48,574.50,EUR,2024-01-01,2024-12-31,Annual price update,6,2023-12-25 14:14:00
197,48,588.90,EUR,2025-01-01,2025-12-31,Supplier increase,6,2024-12-02 12:21:00
198,48,612.90,EUR,2026-01-01,2026-06-30,Currency adjustment,6,2025-12-21 13:27:00
199,48,649.90,EUR,2026-07-01,,Annual price update,7,2026-06-02 09:39:00
200,49,544.50,EUR,2022-10-20,2023-06-30,Initial listing,7,2022-09-21 14:55:00
201,49,577.00,EUR,2023-07-01,2024-12-31,Cost update,6,2023-06-14 09:31:00
202,49,611.90,EUR,2025-01-01,2025-12-31,Annual price update,6,2024-12-20 16:10:00
203,49,581.50,EUR,2026-01-01,,Clearance,7,2025-12-05 15:53:00
204,50,537.90,EUR,2021-11-16,2023-06-30,Initial listing,7,2021-11-12 09:48:00
205,50,564.90,EUR,2023-07-01,2023-12-31,Currency adjustment,6,2023-06-02 10:28:00
206,50,584.90,EUR,2024-01-01,2024-06-30,Cost update,6,2023-12-21 12:30:00
207,50,602.90,EUR,2024-07-01,2025-06-30,Supplier increase,6,2024-06-18 12:11:00
208,50,633.00,EUR,2025-07-01,2026-06-30,Annual price update,6,2025-06-27 11:33:00
209,50,645.90,EUR,2026-07-01,,Supplier increase,7,2026-06-18 11:53:00
210,51,531.50,EUR,2024-04-09,2024-12-31,Initial listing,6,2024-03-25 09:30:00
211,51,504.90,EUR,2025-01-01,2025-06-30,Clearance,6,2024-12-22 11:11:00
212,51,520.00,EUR,2025-07-01,2025-12-31,Annual price update,7,2025-06-21 15:47:00
213,51,504.50,EUR,2026-01-01,2026-06-30,Clearance,6,2025-12-07 14:58:00
214,51,524.90,EUR,2026-07-01,,Range repositioning,7,2026-06-10 08:00:00
215,52,61.90,EUR,2022-05-05,2023-06-30,Initial listing,6,2022-04-23 08:58:00
216,52,63.90,EUR,2023-07-01,2023-12-31,Annual price update,6,2023-06-18 16:51:00
217,52,66.00,EUR,2024-01-01,2024-12-31,Supplier increase,7,2023-12-25 16:21:00
218,52,62.90,EUR,2025-01-01,2025-12-31,Competitive adjustment,6,2024-12-26 11:02:00
219,52,65.00,EUR,2026-01-01,,Supplier increase,6,2025-12-23 09:21:00
220,53,57.50,EUR,2025-12-15,,Initial listing,6,2025-11-28 14:04:00
221,54,60.90,EUR,2020-05-16,2021-12-31,Initial listing,7,2020-05-05 11:52:00
222,54,63.50,EUR,2022-01-01,2022-06-30,Cost update,6,2021-12-24 16:04:00
223,54,65.00,EUR,2022-07-01,2023-06-30,Currency adjustment,6,2022-06-20 14:43:00
224,54,63.00,EUR,2023-07-01,2024-12-31,Clearance,7,2023-06-07 08:12:00
225,54,65.90,EUR,2025-01-01,2026-06-30,Currency adjustment,6,2024-12-29 10:44:00
226,54,68.90,EUR,2026-07-01,,Annual price update,6,2026-06-28 14:34:00
227,55,57.00,EUR,2025-02-15,2025-06-30,Initial listing,6,2025-01-29 10:18:00
228,55,59.50,EUR,2025-07-01,2026-06-30,Supplier increase,7,2025-06-04 09:39:00
229,55,56.90,EUR,2026-07-01,,Clearance,6,2026-06-04 12:14:00
230,56,64.90,EUR,2019-07-14,2019-12-31,Initial listing,7,2019-06-22 10:28:00
231,56,67.00,EUR,2020-01-01,2020-06-30,Annual price update,6,2019-12-20 11:42:00
232,56,69.00,EUR,2020-07-01,2022-06-30,Supplier increase,7,2020-06-24 08:11:00
233,56,70.90,EUR,2022-07-01,2024-06-30,Annual price update,6,2022-06-01 11:23:00
234,56,67.50,EUR,2024-07-01,2026-06-30,Clearance,7,2024-06-11 12:02:00
235,56,64.00,EUR,2026-07-01,,Competitive adjustment,6,2026-06-15 16:45:00
236,57,138.50,EUR,2022-04-14,2023-06-30,Initial listing,7,2022-03-31 10:14:00
237,57,143.50,EUR,2023-07-01,2023-12-31,Currency adjustment,7,2023-06-03 10:31:00
238,57,148.90,EUR,2024-01-01,2024-06-30,Cost update,6,2023-12-11 11:32:00
239,57,141.90,EUR,2024-07-01,,Clearance,7,2024-06-20 09:06:00
240,58,399.90,EUR,2019-03-16,2019-06-30,Initial listing,7,2019-02-19 11:03:00
241,58,415.90,EUR,2019-07-01,2020-06-30,Supplier increase,7,2019-06-01 13:36:00
242,58,424.50,EUR,2020-07-01,2020-12-31,Supplier increase,6,2020-06-28 13:10:00
243,58,411.90,EUR,2021-01-01,2022-06-30,Competitive adjustment,6,2020-12-25 12:30:00
244,58,420.00,EUR,2022-07-01,2022-12-31,Cost update,7,2022-06-05 09:43:00
245,58,436.90,EUR,2023-01-01,2023-06-30,Range repositioning,6,2022-12-05 12:47:00
246,58,447.90,EUR,2023-07-01,2025-06-30,Supplier increase,6,2023-06-04 13:09:00
247,58,465.90,EUR,2025-07-01,2026-06-30,Currency adjustment,7,2025-06-06 16:11:00
248,58,484.90,EUR,2026-07-01,,Annual price update,6,2026-06-03 10:06:00
249,59,380.90,EUR,2023-12-15,2024-06-30,Initial listing,7,2023-11-17 16:44:00
250,59,403.90,EUR,2024-07-01,2025-06-30,Cost update,7,2024-06-24 13:18:00
251,59,383.90,EUR,2025-07-01,2025-12-31,Competitive adjustment,7,2025-06-24 14:55:00
252,59,395.50,EUR,2026-01-01,,Cost update,6,2025-12-02 12:07:00
253,60,404.00,EUR,2025-06-05,2025-12-31,Initial listing,6,2025-05-24 12:36:00
254,60,424.00,EUR,2026-01-01,,Annual price update,7,2025-12-15 12:08:00
255,61,375.50,EUR,2026-01-01,2026-06-30,Initial listing,7,2025-12-25 08:40:00
256,61,398.00,EUR,2026-07-01,,Annual price update,7,2026-06-01 11:40:00
257,62,33.90,EUR,2021-12-28,2022-06-30,Initial listing,7,2021-12-17 08:06:00
258,62,34.75,EUR,2022-07-01,2023-06-30,Cost update,7,2022-06-18 13:39:00
259,62,35.62,EUR,2023-07-01,2024-06-30,Supplier increase,7,2023-06-06 09:22:00
260,62,37.04,EUR,2024-07-01,2024-12-31,Cost update,6,2024-06-27 15:49:00
261,62,38.34,EUR,2025-01-01,2026-06-30,Currency adjustment,7,2024-12-19 09:41:00
262,62,39.87,EUR,2026-07-01,,Annual price update,7,2026-06-04 12:23:00
263,63,33.19,EUR,2022-06-19,2023-06-30,Initial listing,7,2022-05-23 15:05:00
264,63,33.85,EUR,2023-07-01,2023-12-31,Annual price update,7,2023-06-21 10:50:00
265,63,34.87,EUR,2024-01-01,2025-06-30,Currency adjustment,7,2023-12-07 14:55:00
266,63,36.96,EUR,2025-07-01,2025-12-31,Annual price update,6,2025-06-21 16:02:00
267,63,35.85,EUR,2026-01-01,,Competitive adjustment,7,2025-12-27 15:44:00
268,64,36.34,EUR,2019-03-13,2019-06-30,Initial listing,7,2019-02-25 10:41:00
269,64,38.52,EUR,2019-07-01,2019-12-31,Currency adjustment,6,2019-06-17 08:54:00
270,64,39.29,EUR,2020-01-01,2023-12-31,Annual price update,7,2019-12-04 16:11:00
271,64,38.11,EUR,2024-01-01,2024-12-31,Competitive adjustment,7,2023-12-16 09:32:00
272,64,39.06,EUR,2025-01-01,2025-06-30,Currency adjustment,6,2024-12-19 14:46:00
273,64,40.04,EUR,2025-07-01,,Range repositioning,6,2025-06-06 14:03:00
274,65,149.90,EUR,2019-10-27,2023-06-30,Initial listing,7,2019-09-27 11:51:00
275,65,152.90,EUR,2023-07-01,2023-12-31,Supplier increase,7,2023-06-12 09:38:00
276,65,160.90,EUR,2024-01-01,2024-12-31,Annual price update,6,2023-12-06 15:03:00
277,65,152.90,EUR,2025-01-01,2025-12-31,Clearance,6,2024-12-03 08:40:00
278,65,145.50,EUR,2026-01-01,,Competitive adjustment,6,2025-12-26 10:32:00
279,66,164.90,EUR,2022-10-07,2024-06-30,Initial listing,6,2022-09-20 10:58:00
280,66,168.00,EUR,2024-07-01,,Currency adjustment,6,2024-06-26 14:21:00
281,67,149.00,EUR,2024-05-29,2025-12-31,Initial listing,7,2024-05-19 09:32:00
282,67,153.90,EUR,2026-01-01,,Annual price update,7,2025-12-10 12:09:00
283,68,150.50,EUR,2023-10-24,2023-12-31,Initial listing,6,2023-10-12 10:22:00
284,68,158.00,EUR,2024-01-01,2024-12-31,Supplier increase,7,2023-12-28 09:13:00
285,68,167.90,EUR,2025-01-01,2026-06-30,Annual price update,6,2024-12-22 09:48:00
286,68,177.90,EUR,2026-07-01,,Annual price update,6,2026-06-11 10:11:00
287,69,167.90,EUR,2025-03-24,2025-06-30,Initial listing,6,2025-03-15 14:08:00
288,69,177.90,EUR,2025-07-01,2025-12-31,Currency adjustment,6,2025-06-09 08:13:00
289,69,169.00,EUR,2026-01-01,2026-06-30,Competitive adjustment,7,2025-12-15 10:58:00
290,69,172.50,EUR,2026-07-01,,Cost update,6,2026-06-06 11:00:00
291,70,170.90,EUR,2019-01-07,2021-06-30,Initial listing,6,2018-12-25 08:50:00
292,70,177.90,EUR,2021-07-01,2023-06-30,Annual price update,7,2021-06-08 16:11:00
293,70,184.00,EUR,2023-07-01,2025-06-30,Supplier increase,6,2023-06-11 16:33:00
294,70,190.50,EUR,2025-07-01,2025-12-31,Annual price update,7,2025-06-15 12:53:00
295,70,198.00,EUR,2026-01-01,2026-06-30,Range repositioning,6,2025-12-09 09:13:00
296,70,209.90,EUR,2026-07-01,,Cost update,6,2026-06-19 16:49:00
297,71,157.00,EUR,2024-04-28,2024-12-31,Initial listing,7,2024-04-17 08:05:00
298,71,161.90,EUR,2025-01-01,2025-12-31,Range repositioning,6,2024-12-09 09:12:00
299,71,157.00,EUR,2026-01-01,,Competitive adjustment,7,2025-12-07 08:38:00
300,72,117.90,EUR,2020-06-13,2020-06-30,Initial listing,6,2020-05-24 15:39:00
301,72,120.90,EUR,2020-07-01,2021-12-31,Cost update,6,2020-06-25 12:05:00
