id,credit_note_number,customer_id,claim_id,order_id,issued_at,amount,currency,reason,status,created_by
33,CN-2025-00033,2343,40,610,2025-09-18 09:01:08,1158.11,EUR,GOODWILL,CANCELLED,5
34,CN-2025-00034,677,41,619,2025-09-16 13:30:23,135.50,EUR,CLAIM,ISSUED,4
35,CN-2025-00035,486,42,640,2025-09-05 13:40:50,192.67,EUR,CLAIM,APPLIED,5
36,CN-2025-00036,1415,43,645,2025-08-26 17:15:18,369.00,EUR,CLAIM,APPLIED,3
37,CN-2025-00037,2164,44,654,2025-08-27 11:04:31,2326.80,EUR,CLAIM,APPLIED,4
38,CN-2025-00038,2311,45,660,2025-09-15 19:12:27,347.70,EUR,CLAIM,APPLIED,3
39,CN-2025-00039,2280,47,675,2025-09-10 13:32:10,51.66,EUR,CLAIM,APPLIED,5
40,CN-2025-00040,2033,48,679,2025-09-24 13:06:07,177.60,EUR,GOODWILL,ISSUED,3
41,CN-2025-00041,1220,49,681,2025-09-16 10:37:14,83.16,EUR,CLAIM,APPLIED,5
42,CN-2025-00042,740,50,691,2025-09-10 09:44:58,16.45,EUR,CLAIM,APPLIED,3
43,CN-2025-00043,1845,51,698,2025-09-29 15:16:15,67.07,EUR,GOODWILL,APPLIED,5
44,CN-2025-00044,668,52,699,2025-09-01 10:52:54,36.36,EUR,RETURN,APPLIED,3
45,CN-2025-00045,1285,53,778,2025-10-28 11:37:19,1608.47,EUR,GOODWILL,APPLIED,3
46,CN-2025-00046,105,54,786,2025-09-10 12:01:38,24.22,EUR,PRICE_CORRECTION,ISSUED,3
47,CN-2025-00047,685,55,821,2025-09-05 10:03:43,14.69,EUR,PRICE_CORRECTION,APPLIED,3
48,CN-2025-00048,165,56,828,2025-10-13 15:37:26,419.04,EUR,CLAIM,APPLIED,3
49,CN-2025-00049,1669,57,831,2025-09-29 09:17:03,11.95,EUR,CLAIM,APPLIED,5
50,CN-2025-00050,2292,58,836,2025-09-03 08:15:40,800.00,EUR,CLAIM,APPLIED,3
51,CN-2025-00051,1974,59,844,2025-09-17 17:48:27,2343.00,EUR,CLAIM,ISSUED,4
52,CN-2025-00052,1022,62,914,2025-08-28 10:56:59,71.88,EUR,PRICE_CORRECTION,APPLIED,4
53,CN-2025-00053,2337,64,924,2025-09-04 17:20:47,77.00,EUR,RETURN,APPLIED,4
54,CN-2025-00054,329,66,949,2025-08-28 10:58:00,406.90,EUR,CLAIM,APPLIED,3
55,CN-2025-00055,617,67,951,2025-09-11 08:22:51,153.90,EUR,CLAIM,APPLIED,4
56,CN-2025-00056,384,68,990,2025-09-18 10:20:36,40.70,EUR,CLAIM,APPLIED,4
57,CN-2025-00057,2382,69,1002,2025-09-08 17:50:37,445.09,EUR,CLAIM,APPLIED,3
58,CN-2025-00058,1138,70,1005,2025-09-24 16:12:26,142.65,EUR,CLAIM,APPLIED,4
59,CN-2025-00059,2211,71,1006,2025-09-15 23:02:28,101.80,EUR,CLAIM,APPLIED,5
60,CN-2025-00060,2323,72,1037,2025-09-15 14:47:20,1123.68,EUR,CLAIM,ISSUED,3
61,CN-2025-00061,1726,73,1058,2025-09-26 12:11:24,230.66,EUR,CLAIM,APPLIED,3
62,CN-2025-00062,1353,74,1064,2025-09-16 11:06:29,419.60,EUR,CLAIM,ISSUED,3
63,CN-2025-00063,1367,75,1075,2025-09-29 09:43:14,16.71,EUR,GOODWILL,APPLIED,3
64,CN-2025-00064,857,76,1079,2025-09-18 15:25:49,1211.10,EUR,CLAIM,APPLIED,5
65,CN-2025-00065,2060,78,1125,2025-09-30 01:11:35,12.35,EUR,CLAIM,APPLIED,4
66,CN-2025-00066,1100,79,1137,2025-09-01 17:33:28,3555.00,EUR,CLAIM,APPLIED,5
67,CN-2025-00067,55,82,1172,2025-08-13 19:36:34,679.44,EUR,GOODWILL,ISSUED,3
68,CN-2025-00068,852,83,1201,2025-10-20 10:53:07,5.03,EUR,CLAIM,ISSUED,3
69,CN-2025-00069,22,84,1213,2025-09-04 14:43:18,182.70,EUR,CLAIM,APPLIED,3
70,CN-2025-00070,821,85,1215,2025-09-08 10:46:03,150.35,EUR,GOODWILL,APPLIED,5
71,CN-2025-00071,1608,86,1219,2025-10-08 17:29:06,375.84,EUR,CLAIM,APPLIED,4
72,CN-2025-00072,2377,87,1224,2025-09-17 14:20:46,97.47,EUR,GOODWILL,APPLIED,4
73,CN-2025-00073,2012,88,1231,2025-09-27 01:45:50,265.92,EUR,GOODWILL,APPLIED,3
74,CN-2025-00074,705,89,1242,2025-10-01 10:58:20,151.91,EUR,GOODWILL,APPLIED,4
75,CN-2025-00075,989,92,1258,2025-10-15 10:07:44,86.90,EUR,CLAIM,APPLIED,4
76,CN-2025-00076,129,93,1281,2025-08-28 16:02:15,4931.40,EUR,CLAIM,APPLIED,5
77,CN-2025-00077,278,94,1320,2025-09-15 15:10:30,567.00,EUR,CLAIM,ISSUED,4
78,CN-2025-00078,1905,95,1330,2025-08-22 11:50:21,131.00,EUR,CLAIM,ISSUED,5
79,CN-2025-00079,1570,96,1351,2025-09-02 18:53:52,3.75,EUR,GOODWILL,APPLIED,4
80,CN-2025-00080,1450,97,1354,2025-08-29 10:51:03,5963.17,EUR,RETURN,APPLIED,5
81,CN-2025-00081,316,98,1358,2025-09-25 17:32:13,162.60,EUR,PRICE_CORRECTION,APPLIED,4
82,CN-2025-00082,958,99,1361,2025-08-13 22:14:52,100.40,EUR,CLAIM,APPLIED,4
83,CN-2025-00083,1781,100,1390,2025-10-01 19:27:16,125.14,EUR,PRICE_CORRECTION,ISSUED,5
84,CN-2025-00084,1146,101,1392,2025-08-20 08:48:40,214.93,EUR,CLAIM,APPLIED,3
85,CN-2025-00085,810,102,1428,2025-08-18 18:42:32,261.80,EUR,CLAIM,APPLIED,5
86,CN-2025-00086,1701,103,1429,2025-08-18 23:34:10,105.95,EUR,CLAIM,APPLIED,4
87,CN-2025-00087,68,104,1457,2025-09-18 14:33:50,437.62,EUR,CLAIM,ISSUED,3
88,CN-2025-00088,1308,105,1474,2025-09-12 09:35:25,8.40,EUR,PRICE_CORRECTION,APPLIED,3
89,CN-2025-00089,1654,106,1481,2025-10-09 15:34:58,345.24,EUR,CLAIM,APPLIED,4
90,CN-2025-00090,1,107,1484,2025-08-29 16:18:59,934.80,EUR,CLAIM,ISSUED,3
91,CN-2025-00091,1065,108,1485,2025-09-09 00:55:02,1284.00,EUR,CLAIM,APPLIED,3
92,CN-2025-00092,1990,109,1490,2025-09-17 16:11:16,2949.10,EUR,CLAIM,APPLIED,4
93,CN-2025-00093,1329,110,1492,2025-09-11 08:04:09,21.16,EUR,GOODWILL,APPLIED,3
94,CN-2025-00094,147,111,1498,2025-09-04 16:16:08,14.97,EUR,PRICE_CORRECTION,APPLIED,3
95,CN-2025-00095,1091,112,1500,2025-09-08 15:03:17,1111.20,EUR,CLAIM,APPLIED,5
96,CN-2025-00096,1085,113,1535,2025-09-25 11:57:48,267.25,EUR,GOODWILL,APPLIED,5
97,CN-2025-00097,2181,114,1546,2025-09-30 11:33:47,64.40,EUR,CLAIM,APPLIED,4
98,CN-2025-00098,549,115,1553,2025-10-16 17:01:04,5047.27,EUR,CLAIM,CANCELLED,3
99,CN-2025-00099,1569,116,1598,2025-11-06 10:03:00,5.94,EUR,GOODWILL,APPLIED,4
100,CN-2025-00100,193,117,1611,2025-09-26 12:56:39,7462.40,EUR,CLAIM,APPLIED,5
101,CN-2025-00101,344,119,1634,2025-10-21 15:35:18,61.36,EUR,CLAIM,APPLIED,3
102,CN-2025-00102,1741,121,1677,2025-10-28 13:19:38,74.62,EUR,CLAIM,APPLIED,5
103,CN-2025-00103,2264,122,1751,2025-09-30 23:58:59,933.30,EUR,CLAIM,APPLIED,4
104,CN-2025-00104,1283,123,1785,2025-10-07 16:36:16,9485.13,EUR,CLAIM,APPLIED,5
105,CN-2025-00105,697,124,1806,2025-10-07 10:53:57,490.36,EUR,GOODWILL,APPLIED,4
106,CN-2025-00106,1651,125,1810,2025-10-20 13:05:39,3634.80,EUR,CLAIM,APPLIED,5
107,CN-2025-00107,644,127,1831,2025-10-28 08:14:45,644.60,EUR,GOODWILL,APPLIED,4
108,CN-2025-00108,556,128,1840,2025-10-28 17:13:01,572.85,EUR,CLAIM,APPLIED,4
109,CN-2025-00109,1605,130,1853,2025-10-13 17:55:35,6.62,EUR,CLAIM,APPLIED,4
110,CN-2025-00110,177,131,1856,2025-10-27 12:19:28,608.40,EUR,CLAIM,APPLIED,3
111,CN-2025-00111,1050,132,1882,2025-11-19 13:58:22,2227.50,EUR,CLAIM,APPLIED,5
112,CN-2025-00112,1659,133,1898,2025-10-28 17:53:51,6478.20,EUR,RETURN,ISSUED,5
113,CN-2025-00113,2,134,1900,2025-10-02 17:42:36,1.91,EUR,CLAIM,APPLIED,5
114,CN-2025-00114,2371,135,1916,2025-10-13 16:23:54,1093.68,EUR,CLAIM,APPLIED,4
115,CN-2025-00115,1481,136,1945,2025-10-08 17:13:49,610.00,EUR,CLAIM,APPLIED,5
116,CN-2025-00116,1491,137,1959,2025-10-22 16:42:39,97.78,EUR,PRICE_CORRECTION,APPLIED,3
117,CN-2025-00117,2175,138,1964,2025-10-14 11:28:08,749.40,EUR,CLAIM,ISSUED,4
118,CN-2025-00118,274,139,1978,2025-10-10 08:01:10,1752.04,EUR,GOODWILL,APPLIED,4
119,CN-2025-00119,1659,140,1991,2025-09-29 16:26:29,2.99,EUR,PRICE_CORRECTION,APPLIED,5
120,CN-2025-00120,1839,141,2027,2025-10-16 08:00:22,2781.25,EUR,GOODWILL,APPLIED,3
121,CN-2025-00121,40,142,2051,2025-10-29 09:15:12,72.19,EUR,GOODWILL,APPLIED,5
122,CN-2025-00122,450,145,2106,2025-10-14 08:25:40,24.39,EUR,PRICE_CORRECTION,CANCELLED,5
123,CN-2025-00123,1433,146,2107,2025-10-15 17:59:37,428.48,EUR,RETURN,APPLIED,4
124,CN-2025-00124,329,147,2119,2025-10-03 09:55:05,2637.60,EUR,CLAIM,ISSUED,4
125,CN-2025-00125,744,148,2153,2025-10-04 01:07:33,463.58,EUR,CLAIM,APPLIED,4
126,CN-2025-00126,1454,149,2170,2025-10-08 17:34:31,277.14,EUR,GOODWILL,APPLIED,5
127,CN-2025-00127,1481,150,2180,2025-10-15 17:21:07,172.62,EUR,CLAIM,APPLIED,5
128,CN-2025-00128,1712,151,2189,2025-11-14 17:21:36,314.22,EUR,GOODWILL,ISSUED,3
129,CN-2025-00129,1100,153,2206,2025-10-03 09:06:33,1688.30,EUR,GOODWILL,APPLIED,5
130,CN-2025-00130,2309,154,2248,2025-10-14 15:03:06,109.68,EUR,PRICE_CORRECTION,APPLIED,3
131,CN-2025-00131,18,155,2249,2025-10-22 14:05:52,603.40,EUR,GOODWILL,ISSUED,4
132,CN-2025-00132,748,156,2253,2025-10-16 17:21:18,212.70,EUR,CLAIM,APPLIED,5
133,CN-2025-00133,1426,157,2317,2025-11-04 08:50:11,126.73,EUR,GOODWILL,APPLIED,4
134,CN-2025-00134,824,158,2321,2025-10-21 17:37:15,239.92,EUR,CLAIM,APPLIED,5
135,CN-2025-00135,2000,160,2362,2025-10-13 12:41:27,1014.50,EUR,CLAIM,APPLIED,5
136,CN-2025-00136,1130,161,2371,2025-10-21 12:43:45,317.40,EUR,CLAIM,APPLIED,3
137,CN-2025-00137,1102,162,2373,2025-10-20 17:43:21,411.80,EUR,CLAIM,APPLIED,5
138,CN-2025-00138,1845,163,2374,2025-11-04 08:51:15,936.75,EUR,CLAIM,APPLIED,5
139,CN-2025-00139,865,164,2375,2025-12-22 22:56:10,175.50,EUR,CLAIM,APPLIED,4
140,CN-2025-00140,308,165,2389,2025-10-29 11:19:27,967.44,EUR,GOODWILL,APPLIED,5
141,CN-2025-00141,1523,166,2424,2025-10-17 10:15:39,50.45,EUR,GOODWILL,APPLIED,4
142,CN-2025-00142,2142,167,2444,2025-11-10 13:35:21,176.17,EUR,CLAIM,APPLIED,4
143,CN-2025-00143,2397,168,2450,2025-10-28 09:53:41,2249.32,EUR,GOODWILL,APPLIED,3
144,CN-2025-00144,1623,169,2509,2025-09-25 12:17:31,275.24,EUR,CLAIM,APPLIED,4
145,CN-2025-00145,1648,170,2514,2025-10-23 09:57:13,4.76,EUR,CLAIM,APPLIED,4
146,CN-2025-00146,1,171,2519,2025-10-31 08:25:34,216.95,EUR,CLAIM,APPLIED,3
147,CN-2025-00147,2049,172,2543,2025-10-09 15:46:21,322.92,EUR,CLAIM,ISSUED,3
148,CN-2025-00148,850,173,2546,2025-10-27 20:22:20,98.51,EUR,GOODWILL,APPLIED,5
149,CN-2025-00149,25,175,2619,2025-11-18 11:55:13,143.46,EUR,CLAIM,ISSUED,5
150,CN-2025-00150,1899,176,2633,2025-11-04 09:41:49,248.77,EUR,CLAIM,APPLIED,3
151,CN-2025-00151,1607,177,2634,2025-11-10 13:25:41,10428.00,EUR,CLAIM,CANCELLED,4
152,CN-2025-00152,2238,178,2635,2025-10-29 11:06:21,11.38,EUR,GOODWILL,CANCELLED,5
153,CN-2025-00153,2375,179,2663,2025-11-13 14:37:34,166.29,EUR,CLAIM,APPLIED,4
154,CN-2025-00154,1929,180,2724,2025-10-28 09:04:19,1431.35,EUR,GOODWILL,APPLIED,3
155,CN-2025-00155,903,183,2777,2025-11-19 12:24:31,1176.00,EUR,CLAIM,APPLIED,4
156,CN-2025-00156,1807,184,2784,2025-12-09 10:23:45,169.80,EUR,CLAIM,APPLIED,3
157,CN-2025-00157,596,186,2803,2025-11-25 08:24:23,862.02,EUR,CLAIM,APPLIED,4
158,CN-2025-00158,282,187,2809,2025-11-04 15:13:41,593.34,EUR,CLAIM,APPLIED,5
159,CN-2025-00159,992,188,2834,2025-10-30 08:58:18,73.50,EUR,CLAIM,APPLIED,4
160,CN-2025-00160,1451,190,2845,2025-10-30 10:43:48,3805.38,EUR,GOODWILL,APPLIED,4
161,CN-2025-00161,311,192,2850,2025-10-30 14:50:13,1074.48,EUR,GOODWILL,APPLIED,4
162,CN-2025-00162,417,193,2863,2025-11-20 17:21:03,1352.64,EUR,GOODWILL,APPLIED,4
163,CN-2025-00163,2224,194,2899,2025-11-11 15:56:07,886.00,EUR,CLAIM,ISSUED,5
164,CN-2025-00164,1141,195,2911,2025-12-01 12:35:51,2710.00,EUR,CLAIM,APPLIED,3
165,CN-2025-00165,1840,196,2914,2025-11-05 09:22:30,213.00,EUR,CLAIM,APPLIED,4
166,CN-2025-00166,1436,197,2916,2025-11-06 11:47:25,71.95,EUR,CLAIM,ISSUED,3
167,CN-2025-00167,2298,198,2924,2025-12-02 14:30:38,53.32,EUR,CLAIM,APPLIED,4
168,CN-2025-00168,50,200,2934,2025-11-21 08:20:31,1035.54,EUR,GOODWILL,APPLIED,3
169,CN-2025-00169,1933,201,2940,2025-11-12 15:59:29,623.87,EUR,GOODWILL,APPLIED,4
170,CN-2025-00170,1822,203,2951,2025-10-28 08:39:48,84.82,EUR,PRICE_CORRECTION,ISSUED,3
171,CN-2025-00171,1284,204,2987,2025-11-24 21:15:56,89.59,EUR,GOODWILL,APPLIED,5
172,CN-2025-00172,1141,205,2993,2025-11-27 16:00:10,101.85,EUR,CLAIM,APPLIED,4
173,CN-2025-00173,547,206,3004,2025-11-05 08:06:42,115.56,EUR,PRICE_CORRECTION,ISSUED,5
174,CN-2025-00174,348,207,3015,2025-10-16 10:22:38,17.46,EUR,CLAIM,ISSUED,5
175,CN-2025-00175,149,208,3034,2025-11-18 14:24:16,134.35,EUR,PRICE_CORRECTION,APPLIED,4
176,CN-2025-00176,685,209,3036,2025-10-21 15:31:08,320.21,EUR,CLAIM,APPLIED,4
177,CN-2025-00177,2222,210,3040,2025-11-17 08:37:56,488.43,EUR,GOODWILL,APPLIED,5
178,CN-2025-00178,685,211,3061,2025-11-18 19:30:53,384.50,EUR,CLAIM,CANCELLED,5
179,CN-2025-00179,1611,212,3090,2025-12-02 15:17:05,99.47,EUR,GOODWILL,ISSUED,3
180,CN-2025-00180,1580,213,3109,2025-10-22 17:08:10,12772.50,EUR,CLAIM,APPLIED,5
181,CN-2025-00181,530,214,3120,2025-12-23 10:14:36,62.50,EUR,CLAIM,APPLIED,4
182,CN-2025-00182,296,215,3124,2025-11-24 16:52:17,1484.93,EUR,RETURN,APPLIED,5
183,CN-2025-00183,693,216,3138,2025-12-02 10:33:18,141.05,EUR,GOODWILL,ISSUED,4
184,CN-2025-00184,2306,217,3145,2025-11-10 14:07:38,1894.36,EUR,CLAIM,APPLIED,5
185,CN-2025-00185,365,218,3153,2025-10-21 22:06:39,1036.50,EUR,CLAIM,APPLIED,3
186,CN-2025-00186,1582,219,3170,2025-11-07 08:48:16,3262.28,EUR,CLAIM,APPLIED,5
187,CN-2025-00187,710,220,3171,2025-12-02 20:54:23,2.26,EUR,CLAIM,APPLIED,4
188,CN-2025-00188,2000,221,3177,2025-12-17 11:59:13,434.69,EUR,GOODWILL,APPLIED,3
189,CN-2025-00189,1457,222,3185,2025-12-02 16:26:18,1177.42,EUR,CLAIM,ISSUED,4
190,CN-2025-00190,1189,223,3188,2025-11-06 14:59:51,81.84,EUR,CLAIM,APPLIED,3
191,CN-2025-00191,2052,224,3210,2025-10-27 12:21:39,374.99,EUR,GOODWILL,APPLIED,5
192,CN-2025-00192,2240,225,3212,2025-10-29 15:29:03,530.10,EUR,CLAIM,APPLIED,4
193,CN-2025-00193,1481,226,3224,2025-11-19 15:35:35,318.29,EUR,CLAIM,ISSUED,5
194,CN-2025-00194,642,227,3232,2025-11-14 14:21:31,48.89,EUR,PRICE_CORRECTION,APPLIED,5
195,CN-2025-00195,2054,228,3268,2025-11-17 18:31:19,13.34,EUR,CLAIM,ISSUED,5
196,CN-2025-00196,2113,229,3274,2025-11-18 16:50:20,1598.00,EUR,CLAIM,APPLIED,4
197,CN-2025-00197,1878,230,3296,2025-11-17 12:38:03,604.00,EUR,CLAIM,APPLIED,4
198,CN-2025-00198,1997,231,3299,2025-11-03 09:17:57,124.17,EUR,GOODWILL,APPLIED,3
199,CN-2025-00199,1919,232,3315,2025-11-05 12:47:25,2289.29,EUR,CLAIM,APPLIED,5
200,CN-2025-00200,882,233,3369,2025-10-28 17:05:15,99.48,EUR,PRICE_CORRECTION,ISSUED,4
201,CN-2025-00201,823,234,3390,2025-10-30 10:59:11,1365.12,EUR,PRICE_CORRECTION,APPLIED,4
202,CN-2025-00202,1598,235,3426,2025-11-05 11:11:09,3507.20,EUR,CLAIM,APPLIED,4
203,CN-2025-00203,2256,236,3442,2025-10-31 08:31:32,515.94,EUR,CLAIM,APPLIED,4
204,CN-2025-00204,2281,237,3455,2025-10-21 17:24:29,1958.94,EUR,CLAIM,APPLIED,3
205,CN-2025-00205,1700,238,3465,2025-11-04 08:42:35,107.43,EUR,GOODWILL,APPLIED,4
206,CN-2025-00206,1085,239,3474,2025-11-13 21:17:20,666.00,EUR,CLAIM,APPLIED,3
207,CN-2025-00207,158,240,3498,2025-12-03 16:59:08,3.39,EUR,CLAIM,APPLIED,3
208,CN-2025-00208,1929,241,3513,2025-12-11 17:13:56,477.80,EUR,CLAIM,APPLIED,5
209,CN-2025-00209,1085,242,3516,2025-12-22 09:21:07,470.25,EUR,CLAIM,APPLIED,3
210,CN-2025-00210,1046,243,3522,2025-12-15 09:15:46,982.49,EUR,GOODWILL,APPLIED,4
211,CN-2026-00001,792,244,3557,2026-01-01 16:04:43,291.98,EUR,CLAIM,APPLIED,5
212,CN-2025-00211,748,245,3562,2025-12-17 11:10:48,672.34,EUR,PRICE_CORRECTION,ISSUED,3
213,CN-2025-00212,365,247,3566,2025-12-16 16:58:20,9834.32,EUR,CLAIM,ISSUED,3
214,CN-2025-00213,2208,248,3582,2025-12-18 15:54:23,869.67,EUR,CLAIM,ISSUED,3
215,CN-2025-00214,1784,249,3583,2025-12-26 18:04:46,584.40,EUR,CLAIM,APPLIED,3
216,CN-2025-00215,2054,250,3600,2025-12-12 08:06:25,71.46,EUR,CLAIM,ISSUED,5
217,CN-2025-00216,629,251,3602,2025-12-08 14:11:41,15.43,EUR,PRICE_CORRECTION,APPLIED,4
218,CN-2026-00002,591,252,3605,2026-01-01 10:16:00,142.88,EUR,CLAIM,ISSUED,4
219,CN-2025-00217,1535,253,3606,2025-11-25 09:34:00,35.76,EUR,GOODWILL,ISSUED,5
220,CN-2025-00218,1202,254,3625,2025-12-11 15:59:48,434.68,EUR,GOODWILL,APPLIED,3
221,CN-2025-00219,143,255,3657,2025-12-01 15:40:11,434.70,EUR,CLAIM,APPLIED,4
222,CN-2025-00220,2317,256,3661,2025-12-19 11:38:09,243.60,EUR,CLAIM,APPLIED,3
223,CN-2025-00221,497,257,3688,2025-12-23 15:44:40,490.88,EUR,CLAIM,ISSUED,4
224,CN-2026-00003,1929,258,3692,2026-01-06 09:22:10,208.08,EUR,CLAIM,APPLIED,3
225,CN-2025-00222,2130,260,3758,2025-12-26 13:57:08,47.88,EUR,PRICE_CORRECTION,ISSUED,4
226,CN-2025-00223,2068,261,3767,2025-12-15 17:28:37,30.75,EUR,CLAIM,APPLIED,3
227,CN-2026-00004,46,262,3779,2026-01-06 10:46:11,1035.82,EUR,GOODWILL,APPLIED,3
228,CN-2025-00224,1714,263,3799,2025-12-02 15:20:12,534.31,EUR,GOODWILL,APPLIED,5
229,CN-2025-00225,1780,264,3812,2025-12-31 14:17:44,176.12,EUR,GOODWILL,APPLIED,4
230,CN-2025-00226,364,265,3893,2025-12-04 18:51:50,148.46,EUR,GOODWILL,ISSUED,5
231,CN-2025-00227,1905,266,3948,2025-12-04 14:50:39,21.88,EUR,CLAIM,APPLIED,5
232,CN-2025-00228,1063,267,3980,2025-12-17 19:13:03,111.00,EUR,CLAIM,APPLIED,5
233,CN-2026-00005,699,268,3987,2026-01-07 10:52:01,37.32,EUR,CLAIM,APPLIED,3
234,CN-2025-00229,1236,269,4008,2025-11-26 17:53:05,18.05,EUR,CLAIM,APPLIED,4
235,CN-2025-00230,419,270,4015,2025-12-26 13:39:29,43.98,EUR,CLAIM,APPLIED,5
236,CN-2025-00231,126,271,4031,2025-12-15 20:20:24,130.90,EUR,CLAIM,APPLIED,5
237,CN-2025-00232,1666,272,4034,2025-12-18 08:39:06,359.70,EUR,CLAIM,APPLIED,5
238,CN-2026-00006,1998,273,4047,2026-01-01 10:50:14,62.64,EUR,CLAIM,APPLIED,4
239,CN-2025-00233,2001,275,4092,2025-12-09 13:28:09,2496.46,EUR,CLAIM,APPLIED,5
240,CN-2026-00007,1289,276,4112,2026-02-03 10:56:10,535.00,EUR,CLAIM,ISSUED,3
241,CN-2025-00234,797,277,4114,2025-12-02 09:31:26,1738.80,EUR,CLAIM,APPLIED,5
242,CN-2025-00235,1000,278,4127,2025-11-26 16:35:00,124.90,EUR,CLAIM,APPLIED,5
243,CN-2025-00236,170,279,4141,2025-12-11 10:47:52,230.80,EUR,CLAIM,APPLIED,3
244,CN-2025-00237,1661,280,4146,2025-12-15 13:27:10,1111.04,EUR,CLAIM,APPLIED,3
245,CN-2025-00238,748,281,4156,2025-12-19 11:59:41,171.00,EUR,CLAIM,APPLIED,3
246,CN-2025-00239,645,282,4169,2025-11-20 15:02:56,424.07,EUR,CLAIM,ISSUED,4
247,CN-2026-00008,381,283,4211,2026-02-04 15:24:25,109.89,EUR,CLAIM,ISSUED,3
248,CN-2025-00240,1919,285,4222,2025-12-01 13:53:04,50.92,EUR,CLAIM,APPLIED,3
249,CN-2025-00241,32,286,4242,2025-12-31 10:34:22,2278.78,EUR,GOODWILL,ISSUED,5
250,CN-2025-00242,1840,287,4286,2025-11-26 15:18:59,409.40,EUR,CLAIM,APPLIED,3
251,CN-2025-00243,1939,288,4319,2025-12-17 17:03:54,5192.90,EUR,CLAIM,APPLIED,3
252,CN-2025-00244,628,290,4378,2025-12-24 09:59:09,767.07,EUR,GOODWILL,APPLIED,3
253,CN-2025-00245,779,292,4419,2025-12-30 08:40:49,45.40,EUR,CLAIM,APPLIED,4
254,CN-2026-00009,789,293,4447,2026-01-27 09:24:50,359.55,EUR,CLAIM,APPLIED,5
255,CN-2026-00010,1626,294,4453,2026-01-19 17:43:50,616.32,EUR,PRICE_CORRECTION,APPLIED,3
