id,product_id,warehouse_id,moved_at,movement_type,quantity,reference,balance_after
87,2944,2,2025-06-30 05:24:01,RECEIPT,78,PO-2025-35237,78
88,719,2,2025-06-30 05:58:48,RECEIPT,216,PO-2025-16470,216
89,1220,1,2025-06-30 06:34:52,RECEIPT,11,PO-2025-20757,11
90,2276,2,2025-06-30 06:55:20,RECEIPT,12,PO-2025-29657,12
91,675,3,2025-06-30 08:15:11,RECEIPT,11,PO-2025-16165,11
92,1542,2,2025-06-30 08:20:08,RECEIPT,15,PO-2025-23609,15
93,657,3,2025-06-30 08:23:23,RECEIPT,2,PO-2025-15952,2
94,1620,2,2025-06-30 08:34:27,RECEIPT,15,PO-2025-24204,15
95,1749,1,2025-06-30 08:35:06,RECEIPT,42,PO-2025-25238,42
96,1358,2,2025-06-30 08:54:47,RECEIPT,11,PO-2025-22091,11
97,1178,2,2025-06-30 09:24:01,RECEIPT,30,PO-2025-20298,30
98,2905,1,2025-06-30 10:53:54,RECEIPT,15,PO-2025-34909,15
99,1471,2,2025-06-30 11:04:17,RECEIPT,2,PO-2025-22970,2
100,500,2,2025-06-30 12:10:50,RECEIPT,26,PO-2025-14521,26
101,1580,2,2025-06-30 12:18:23,RECEIPT,12,PO-2025-23905,12
102,1292,1,2025-06-30 12:27:15,RECEIPT,58,PO-2025-21448,58
103,637,3,2025-06-30 13:28:57,RECEIPT,12,PO-2025-15773,12
104,663,2,2025-06-30 13:35:01,RECEIPT,24,PO-2025-15995,24
105,2031,2,2025-06-30 13:35:01,RECEIPT,19,PO-2025-27618,19
106,1828,2,2025-06-30 15:14:13,RECEIPT,120,PO-2025-25955,120
107,2204,1,2025-06-30 15:18:49,RECEIPT,14,PO-2025-28984,14
108,1747,2,2025-06-30 15:37:54,RECEIPT,114,PO-2025-25226,114
109,937,1,2025-06-30 16:35:06,RECEIPT,42,PO-2025-18395,42
110,41,1,2025-06-30 18:27:15,RECEIPT,33,PO-2025-10277,33
111,1141,3,2025-07-01 02:34:16,RECEIPT,60,PO-2025-19981,60
112,1137,2,2025-07-01 04:11:01,RECEIPT,12,PO-2025-19923,12
113,1169,2,2025-07-01 04:23:22,RECEIPT,96,PO-2025-20214,96
114,242,2,2025-07-01 04:58:48,RECEIPT,42,PO-2025-12083,42
115,1045,2,2025-07-01 04:58:48,RECEIPT,48,PO-2025-19188,48
116,42,2,2025-07-01 05:10:50,RECEIPT,9,PO-2025-10317,9
117,955,2,2025-07-01 06:02:55,RECEIPT,23,PO-2025-18556,23
118,1002,2,2025-07-01 06:03:14,RECEIPT,34,PO-2025-18864,34
119,3072,2,2025-07-01 06:07:46,RECEIPT,120,PO-2025-36425,120
120,3082,2,2025-07-01 06:11:01,RECEIPT,20,PO-2025-36493,20
121,873,2,2025-07-01 07:04:17,RECEIPT,1,PO-2025-17853,1
122,1248,1,2025-07-01 07:09:14,RECEIPT,66,PO-2025-21011,66
123,1325,2,2025-07-01 07:14:17,RECEIPT,14,PO-2025-21805,14
124,1730,3,2025-07-01 07:15:11,RECEIPT,35,PO-2025-25061,35
125,558,3,2025-07-01 07:23:23,RECEIPT,16,PO-2025-15055,16
126,1278,1,2025-07-01 07:24:32,RECEIPT,114,PO-2025-21321,114
127,290,2,2025-07-01 07:50:34,RECEIPT,36,PO-2025-12652,36
128,44,1,2025-07-01 08:39:33,RECEIPT,4,PO-2025-10364,4
129,1129,2,2025-07-01 08:47:00,RECEIPT,40,PO-2025-19869,40
130,2534,1,2025-07-01 08:57:11,RECEIPT,132,PO-2025-31579,132
131,1912,1,2025-07-01 09:12:59,RECEIPT,4,PO-2025-26649,4
132,1708,1,2025-07-01 09:23:23,RECEIPT,12,PO-2025-24849,12
133,1949,1,2025-07-01 09:46:57,RECEIPT,36,PO-2025-26979,36
134,1163,2,2025-07-01 09:47:00,RECEIPT,8,PO-2025-20168,8
135,2277,1,2025-07-01 09:57:11,RECEIPT,204,PO-2025-29660,204
136,793,2,2025-07-01 10:14:13,RECEIPT,2,PO-2025-17189,2
137,2920,2,2025-07-01 10:42:35,RECEIPT,34,PO-2025-35025,34
138,1253,1,2025-07-01 11:27:15,RECEIPT,18,PO-2025-21068,18
139,2252,1,2025-07-01 11:33:01,RECEIPT,14,PO-2025-29368,14
140,842,2,2025-07-01 11:34:27,RECEIPT,1,PO-2025-17633,1
141,1391,3,2025-07-01 12:28:57,RECEIPT,66,PO-2025-22369,66
142,2226,3,2025-07-01 12:31:09,RECEIPT,48,PO-2025-29189,48
143,513,2,2025-07-01 12:33:41,RECEIPT,35,PO-2025-14686,35
144,367,2,2025-07-01 12:37:54,RECEIPT,38,PO-2025-13175,38
145,3006,1,2025-07-01 12:46:57,RECEIPT,20,PO-2025-35928,20
146,2255,2,2025-07-01 13:03:47,RECEIPT,3,PO-2025-29411,3
147,229,2,2025-07-01 13:12:33,RECEIPT,2,PO-2025-11987,2
148,2422,1,2025-07-01 13:26:16,RECEIPT,8,PO-2025-30668,8
149,1307,2,2025-07-01 13:42:35,RECEIPT,41,PO-2025-21620,41
150,2066,1,2025-07-01 14:12:59,RECEIPT,15,PO-2025-27903,15
151,1781,1,2025-07-01 14:27:15,RECEIPT,12,PO-2025-25522,12
152,34,2,2025-07-01 14:34:27,RECEIPT,4,PO-2025-10240,4
153,1292,2,2025-07-01 15:12:33,RECEIPT,17,PO-2025-21458,17
154,608,2,2025-07-01 17:37:54,RECEIPT,12,PO-2025-15522,12
155,346,1,2025-07-01 17:46:59,SHIPMENT,-5,SH-2025-000094,9
156,353,1,2025-07-01 17:46:59,SHIPMENT,-48,SH-2025-000094,72
157,488,1,2025-07-01 17:46:59,SHIPMENT,-8,SH-2025-000094,24
158,510,1,2025-07-01 17:46:59,SHIPMENT,-12,SH-2025-000094,48
159,874,1,2025-07-01 17:46:59,SHIPMENT,-2,SH-2025-000094,8
160,907,1,2025-07-01 17:46:59,SHIPMENT,-48,SH-2025-000094,6
161,1312,1,2025-07-01 17:46:59,SHIPMENT,-18,SH-2025-000094,72
162,1574,1,2025-07-01 17:46:59,SHIPMENT,-48,SH-2025-000094,30
163,1755,1,2025-07-01 17:46:59,SHIPMENT,-2,SH-2025-000094,0
164,2054,1,2025-07-01 17:46:59,SHIPMENT,-48,SH-2025-000094,0
165,2249,1,2025-07-01 17:46:59,SHIPMENT,-12,SH-2025-000094,120
166,2446,1,2025-07-01 17:46:59,SHIPMENT,-12,SH-2025-000094,12
167,3053,3,2025-07-02 02:18:04,RECEIPT,45,PO-2025-36262,45
168,1406,2,2025-07-02 02:23:22,RECEIPT,108,PO-2025-22517,108
169,1752,1,2025-07-02 02:48:36,RECEIPT,27,PO-2025-25284,27
170,731,3,2025-07-02 03:16:00,RECEIPT,60,PO-2025-16596,60
171,959,2,2025-07-02 04:07:46,RECEIPT,12,PO-2025-18579,12
172,2411,1,2025-07-02 04:48:46,RECEIPT,2,PO-2025-30576,2
173,1843,2,2025-07-02 05:02:43,RECEIPT,78,PO-2025-26075,78
174,167,2,2025-07-02 05:35:06,RECEIPT,20,PO-2025-11310,20
175,2882,2,2025-07-02 06:09:38,RECEIPT,24,PO-2025-34527,24
176,582,3,2025-07-02 06:18:04,RECEIPT,21,PO-2025-15282,21
177,779,2,2025-07-02 06:20:41,RECEIPT,35,PO-2025-17056,35
178,1591,2,2025-07-02 06:51:49,RECEIPT,6,PO-2025-23978,6
179,259,2,2025-07-02 07:07:46,RECEIPT,78,PO-2025-12232,78
180,1304,2,2025-07-02 07:07:46,RECEIPT,27,PO-2025-21573,27
181,582,2,2025-07-02 07:20:08,RECEIPT,47,PO-2025-15272,47
182,2272,1,2025-07-02 07:23:23,RECEIPT,300,PO-2025-29561,300
183,1071,1,2025-07-02 07:48:46,RECEIPT,90,PO-2025-19322,90
184,1184,1,2025-07-02 07:57:11,RECEIPT,66,PO-2025-20343,66
185,481,2,2025-07-02 08:07:46,RECEIPT,34,PO-2025-14288,34
186,1372,2,2025-07-02 08:14:32,RECEIPT,44,PO-2025-22211,44
187,202,2,2025-07-02 08:28:10,RECEIPT,28,PO-2025-11678,28
188,1890,2,2025-07-02 09:22:18,RECEIPT,12,PO-2025-26439,12
189,3162,2,2025-07-02 09:35:27,RECEIPT,4,PO-2025-37186,4
190,964,2,2025-07-02 09:42:37,RECEIPT,32,PO-2025-18617,32
191,650,1,2025-07-02 09:53:54,RECEIPT,2,PO-2025-15897,2
192,1519,2,2025-07-02 10:09:38,RECEIPT,192,PO-2025-23422,192
193,2177,2,2025-07-02 10:12:33,RECEIPT,10,PO-2025-28764,10
194,1941,3,2025-07-02 10:16:00,RECEIPT,54,PO-2025-26914,54
195,776,2,2025-07-02 10:22:18,RECEIPT,18,PO-2025-17020,18
196,193,1,2025-07-02 10:35:06,RECEIPT,35,PO-2025-11564,35
197,1230,2,2025-07-02 11:05:12,RECEIPT,12,PO-2025-20865,12
198,737,1,2025-07-02 11:13:28,RECEIPT,48,PO-2025-16643,48
199,2319,1,2025-07-02 11:24:32,RECEIPT,192,PO-2025-29955,192
200,126,2,2025-07-02 11:58:48,SHIPMENT,-1,SH-2025-000364,11
201,205,2,2025-07-02 11:58:48,SHIPMENT,-12,SH-2025-000364,120
202,242,2,2025-07-02 11:58:48,SHIPMENT,-20,SH-2025-000364,22
203,488,2,2025-07-02 11:58:48,SHIPMENT,-4,SH-2025-000364,0
204,719,2,2025-07-02 11:58:48,SHIPMENT,-96,SH-2025-000364,120
205,1045,2,2025-07-02 11:58:48,SHIPMENT,-12,SH-2025-000364,36
206,1152,2,2025-07-02 11:58:48,SHIPMENT,-96,SH-2025-000364,192
207,1756,2,2025-07-02 11:58:48,SHIPMENT,-6,SH-2025-000364,42
208,1895,2,2025-07-02 11:58:48,SHIPMENT,-5,SH-2025-000364,9
209,2182,2,2025-07-02 11:58:48,SHIPMENT,-20,SH-2025-000364,26
210,2448,2,2025-07-02 11:58:48,SHIPMENT,-30,SH-2025-000364,0
211,2902,2,2025-07-02 11:58:48,SHIPMENT,-12,SH-2025-000364,108
212,274,2,2025-07-02 12:03:14,SHIPMENT,-60,SH-2025-000039,60
213,1002,2,2025-07-02 12:03:14,SHIPMENT,-2,SH-2025-000039,32
214,1349,2,2025-07-02 12:18:23,RECEIPT,78,PO-2025-22038,78
215,42,3,2025-07-02 12:28:57,RECEIPT,12,PO-2025-10352,12
216,2243,3,2025-07-02 12:51:02,RECEIPT,12,PO-2025-29292,12
217,1485,2,2025-07-02 13:28:28,RECEIPT,60,PO-2025-23102,60
218,80,2,2025-07-02 13:34:27,RECEIPT,24,PO-2025-10630,24
219,225,2,2025-07-02 13:39:06,SHIPMENT,-12,SH-2025-000595,0
220,1465,2,2025-07-02 13:39:06,SHIPMENT,-6,SH-2025-000595,24
221,595,1,2025-07-02 14:13:22,RECEIPT,6,PO-2025-15378,6
222,619,1,2025-07-02 14:33:35,RECEIPT,48,PO-2025-15581,48
223,1330,2,2025-07-02 14:51:53,RECEIPT,48,PO-2025-21862,48
224,656,2,2025-07-02 15:04:17,SHIPMENT,-5,SH-2025-000187,36
225,873,2,2025-07-02 15:04:17,SHIPMENT,-1,SH-2025-000187,0
226,1084,2,2025-07-02 15:04:17,SHIPMENT,-2,SH-2025-000187,18
227,1471,2,2025-07-02 15:04:17,SHIPMENT,-2,SH-2025-000187,0
228,2558,2,2025-07-02 15:04:17,SHIPMENT,-4,SH-2025-000187,20
229,3171,2,2025-07-02 15:04:17,SHIPMENT,-2,SH-2025-000187,8
230,775,1,2025-07-02 15:14:11,RECEIPT,8,PO-2025-17003,8
231,2533,1,2025-07-02 15:18:49,RECEIPT,22,PO-2025-31571,22
232,1558,2,2025-07-02 15:33:41,RECEIPT,8,PO-2025-23770,8
233,510,2,2025-07-02 16:34:27,RECEIPT,90,PO-2025-14615,90
234,3074,1,2025-07-02 16:46:57,RECEIPT,21,PO-2025-36434,21
235,644,2,2025-07-02 16:54:47,SHIPMENT,-12,SH-2025-000578,23
236,906,2,2025-07-02 16:54:47,SHIPMENT,-12,SH-2025-000578,40
237,1358,2,2025-07-02 16:54:47,SHIPMENT,-10,SH-2025-000578,1
238,916,2,2025-07-02 17:12:33,RECEIPT,120,PO-2025-18220,120
239,1789,1,2025-07-02 17:12:59,SHIPMENT,-6,SH-2025-000228,3
240,1912,1,2025-07-02 17:12:59,SHIPMENT,-2,SH-2025-000228,2
241,2066,1,2025-07-02 17:12:59,SHIPMENT,-2,SH-2025-000228,13
242,2766,2,2025-07-02 17:46:00,RECEIPT,13,PO-2025-33682,13
243,538,1,2025-07-02 18:26:16,SHIPMENT,-12,SH-2025-000125,0
244,1538,1,2025-07-02 18:26:16,SHIPMENT,-10,SH-2025-000125,16
245,2015,1,2025-07-02 18:26:16,SHIPMENT,-30,SH-2025-000125,0
246,2422,1,2025-07-02 18:26:16,SHIPMENT,-1,SH-2025-000125,7
247,607,2,2025-07-03 03:18:19,RECEIPT,60,PO-2025-15515,60
248,2401,3,2025-07-03 03:26:47,RECEIPT,204,PO-2025-30526,204
249,181,2,2025-07-03 03:35:06,RECEIPT,12,PO-2025-11443,12
250,673,1,2025-07-03 04:57:11,RECEIPT,48,PO-2025-16144,48
251,2586,2,2025-07-03 05:23:35,RECEIPT,16,PO-2025-32069,16
252,2370,2,2025-07-03 05:42:37,RECEIPT,204,PO-2025-30287,204
253,3110,2,2025-07-03 06:05:09,RECEIPT,144,PO-2025-36707,144
254,1917,2,2025-07-03 06:09:38,RECEIPT,28,PO-2025-26704,28
255,257,2,2025-07-03 06:10:50,RECEIPT,25,PO-2025-12210,25
256,1684,2,2025-07-03 06:16:44,RECEIPT,7,PO-2025-24690,7
257,1182,2,2025-07-03 06:23:22,RECEIPT,42,PO-2025-20335,42
258,513,3,2025-07-03 06:26:47,RECEIPT,14,PO-2025-14697,14
259,104,1,2025-07-03 06:26:48,RECEIPT,32,PO-2025-10823,32
260,1601,1,2025-07-03 06:34:52,RECEIPT,21,PO-2025-24075,21
261,169,2,2025-07-03 07:02:55,RECEIPT,9,PO-2025-11339,9
262,1902,3,2025-07-03 07:04:26,RECEIPT,108,PO-2025-26580,108
263,1084,1,2025-07-03 07:05:24,RECEIPT,17,PO-2025-19439,17
264,291,2,2025-07-03 07:20:41,RECEIPT,11,PO-2025-12662,11
265,42,1,2025-07-03 07:23:23,RECEIPT,40,PO-2025-10295,40
266,463,2,2025-07-03 07:23:52,RECEIPT,22,PO-2025-14082,22
267,2186,1,2025-07-03 07:24:32,RECEIPT,6,PO-2025-28840,6
268,1304,1,2025-07-03 07:34:52,RECEIPT,17,PO-2025-21556,17
269,677,1,2025-07-03 07:57:11,RECEIPT,22,PO-2025-16171,22
270,2627,1,2025-07-03 08:01:24,RECEIPT,102,PO-2025-32415,102
271,2826,2,2025-07-03 08:05:09,RECEIPT,1,PO-2025-34177,1
272,2802,2,2025-07-03 08:10:21,RECEIPT,15,PO-2025-33967,15
273,1502,1,2025-07-03 08:13:22,RECEIPT,54,PO-2025-23245,54
274,1902,1,2025-07-03 08:18:55,RECEIPT,84,PO-2025-26548,84
275,2697,2,2025-07-03 08:54:40,RECEIPT,20,PO-2025-33129,20
276,852,2,2025-07-03 09:02:43,RECEIPT,180,PO-2025-17710,180
277,2279,2,2025-07-03 09:07:18,RECEIPT,31,PO-2025-29686,31
278,2948,2,2025-07-03 09:12:33,RECEIPT,24,PO-2025-35350,24
279,193,2,2025-07-03 09:14:32,RECEIPT,31,PO-2025-11575,31
280,693,2,2025-07-03 09:14:32,RECEIPT,46,PO-2025-16270,46
281,523,3,2025-07-03 09:18:04,SHIPMENT,-48,SH-2025-000372,0
282,582,3,2025-07-03 09:18:04,SHIPMENT,-4,SH-2025-000372,17
283,1693,3,2025-07-03 09:18:04,SHIPMENT,-5,SH-2025-000372,17
284,1765,3,2025-07-03 09:18:04,SHIPMENT,-2,SH-2025-000372,0
285,2889,3,2025-07-03 09:18:04,SHIPMENT,-20,SH-2025-000372,0
286,3053,3,2025-07-03 09:18:04,SHIPMENT,-20,SH-2025-000372,25
287,2014,1,2025-07-03 09:18:49,RECEIPT,28,PO-2025-27472,28
288,1248,2,2025-07-03 09:28:41,RECEIPT,30,PO-2025-21016,30
289,348,1,2025-07-03 09:33:01,RECEIPT,26,PO-2025-13021,26
290,1004,1,2025-07-03 09:34:59,RECEIPT,12,PO-2025-18874,12
291,1137,2,2025-07-03 10:11:01,SHIPMENT,-2,SH-2025-000093,10
292,3082,2,2025-07-03 10:11:01,SHIPMENT,-12,SH-2025-000093,8
293,1325,2,2025-07-03 10:14:17,SHIPMENT,-3,SH-2025-000384,11
294,1751,2,2025-07-03 10:14:17,SHIPMENT,-12,SH-2025-000384,47
295,2974,2,2025-07-03 10:14:17,SHIPMENT,-20,SH-2025-000384,0
296,227,1,2025-07-03 10:23:23,RECEIPT,19,PO-2025-11968,19
297,1689,2,2025-07-03 10:55:20,SHIPMENT,-3,SH-2025-000407,3
298,1722,2,2025-07-03 10:55:20,SHIPMENT,-2,SH-2025-000407,14
299,1801,2,2025-07-03 10:55:20,SHIPMENT,-3,SH-2025-000407,25
300,2276,2,2025-07-03 10:55:20,SHIPMENT,-6,SH-2025-000407,6
301,1121,1,2025-07-03 11:01:24,RECEIPT,36,PO-2025-19819,36
302,2246,2,2025-07-03 11:05:29,RECEIPT,34,PO-2025-29312,34
303,259,2,2025-07-03 11:07:46,SHIPMENT,-24,SH-2025-000539,54
304,481,2,2025-07-03 11:07:46,SHIPMENT,-4,SH-2025-000539,30
305,959,2,2025-07-03 11:07:46,SHIPMENT,-12,SH-2025-000539,0
306,1148,2,2025-07-03 11:07:46,SHIPMENT,-10,SH-2025-000539,6
307,1304,2,2025-07-03 11:07:46,SHIPMENT,-4,SH-2025-000539,23
308,1929,2,2025-07-03 11:07:46,SHIPMENT,-2,SH-2025-000539,8
309,1941,2,2025-07-03 11:07:46,SHIPMENT,-12,SH-2025-000539,24
310,3072,2,2025-07-03 11:07:46,SHIPMENT,-36,SH-2025-000539,84
311,1926,2,2025-07-03 11:12:33,RECEIPT,60,PO-2025-26790,60
312,675,3,2025-07-03 11:15:11,SHIPMENT,-3,SH-2025-000508,8
313,1632,3,2025-07-03 11:15:11,SHIPMENT,-12,SH-2025-000508,0
314,1730,3,2025-07-03 11:15:11,SHIPMENT,-1,SH-2025-000508,34
315,2766,3,2025-07-03 11:15:11,SHIPMENT,-20,SH-2025-000508,6
316,2956,3,2025-07-03 11:15:11,SHIPMENT,-12,SH-2025-000508,12
317,1315,1,2025-07-03 11:24:32,RECEIPT,7,PO-2025-21705,7
318,2630,2,2025-07-03 11:34:27,RECEIPT,6,PO-2025-32469,6
319,240,2,2025-07-03 11:35:01,RECEIPT,24,PO-2025-12066,24
320,891,2,2025-07-03 12:23:35,RECEIPT,66,PO-2025-17985,66
321,665,1,2025-07-03 12:33:35,RECEIPT,72,PO-2025-16006,72
322,537,2,2025-07-03 12:49:29,RECEIPT,21,PO-2025-14885,21
323,2285,1,2025-07-03 13:01:24,RECEIPT,24,PO-2025-29727,24
324,3006,2,2025-07-03 13:03:19,RECEIPT,44,PO-2025-35932,44
325,810,1,2025-07-03 13:09:14,RECEIPT,38,PO-2025-17327,38
326,3006,3,2025-07-03 13:16:39,RECEIPT,2,PO-2025-35938,2
327,2468,3,2025-07-03 13:17:59,RECEIPT,72,PO-2025-31099,72
328,1349,2,2025-07-03 13:18:23,SHIPMENT,-6,SH-2025-000235,72
329,1580,2,2025-07-03 13:18:23,SHIPMENT,-12,SH-2025-000235,0
330,205,2,2025-07-03 13:22:18,SHIPMENT,-24,SH-2025-000526,96
331,776,2,2025-07-03 13:22:18,SHIPMENT,-5,SH-2025-000526,13
332,963,2,2025-07-03 13:22:18,SHIPMENT,-5,SH-2025-000526,12
333,1386,2,2025-07-03 13:22:18,SHIPMENT,-12,SH-2025-000526,0
334,1890,2,2025-07-03 13:22:18,SHIPMENT,-5,SH-2025-000526,7
335,2803,2,2025-07-03 13:22:18,SHIPMENT,-4,SH-2025-000526,0
336,2803,2,2025-07-03 13:23:18,RECEIPT,4,PO-2025-33980,4
337,3051,2,2025-07-03 13:23:35,RECEIPT,24,PO-2025-36236,24
338,2119,2,2025-07-03 13:33:41,RECEIPT,12,PO-2025-28355,12
339,2807,2,2025-07-03 13:34:27,RECEIPT,5,PO-2025-34039,5
340,1848,2,2025-07-03 14:03:19,RECEIPT,84,PO-2025-26105,84
341,1254,2,2025-07-03 14:28:28,SHIPMENT,-12,SH-2025-000538,12
342,1485,2,2025-07-03 14:28:28,SHIPMENT,-6,SH-2025-000538,54
343,1755,2,2025-07-03 14:28:28,SHIPMENT,-5,SH-2025-000538,30
344,2030,2,2025-07-03 14:35:01,RECEIPT,6,PO-2025-27604,6
345,1918,2,2025-07-03 14:45:41,RECEIPT,120,PO-2025-26727,120
346,1430,2,2025-07-03 15:06:26,RECEIPT,26,PO-2025-22712,26
347,695,1,2025-07-03 15:14:11,RECEIPT,33,PO-2025-16283,33
