id,shipment_id,event_time,event_type,location,note
94,16,2025-07-07 09:22:34,DISPATCHED,Vantaa,Handed to Nordfrakt
95,16,2025-07-08 03:20:57,HUB_SCAN,Vantaa hub,Arrived at terminal
96,16,2025-07-08 07:03:00,OUT_FOR_DELIVERY,Jyväskylä,
97,16,2025-07-08 08:47:40,DELIVERED,Jyväskylä,Signed by K. Koskinen
98,17,2025-07-29 10:40:45,PICKED,Göteborg,58 units picked
99,17,2025-07-29 11:40:45,PACKED,Göteborg,1 pallet(s)
100,17,2025-07-30 17:54:09,DISPATCHED,Göteborg,Handed to Botnia Cargo
101,17,2025-07-31 00:06:27,HUB_SCAN,Örebro terminal,Arrived at terminal
102,17,2025-08-01 07:04:00,OUT_FOR_DELIVERY,Uppsala,
103,17,2025-08-01 15:38:53,DELIVERED,Uppsala,Left at loading bay as instructed
104,18,2025-07-30 09:11:16,PICKED,Göteborg,9 units picked
105,18,2025-07-30 11:11:16,PACKED,Göteborg,2 parcel(s)
106,18,2025-07-30 11:47:04,DISPATCHED,Göteborg,Handed to Botnia Cargo
107,18,2025-07-31 00:21:34,HUB_SCAN,Taulov terminal,Arrived at terminal
108,18,2025-08-04 07:27:00,OUT_FOR_DELIVERY,Roskilde,
109,18,2025-08-04 10:54:37,DELIVERED,Roskilde,Signed by J. Christensen
110,19,2025-07-23 09:28:18,PICKED,Göteborg,48 units picked
111,19,2025-07-23 13:28:18,PACKED,Göteborg,1 pallet(s)
112,19,2025-07-23 10:16:54,DISPATCHED,Göteborg,Handed to Kalott Freight
113,19,2025-07-24 01:52:52,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
114,19,2025-07-28 07:00:00,OUT_FOR_DELIVERY,Oslo,
115,19,2025-07-28 12:07:40,DELIVERED,Oslo,Signed by S. Nygaard
116,20,2025-07-16 11:20:28,PICKED,Vantaa,36 units picked
117,20,2025-07-16 14:20:28,PACKED,Vantaa,6 parcel(s)
118,20,2025-07-17 13:35:33,DISPATCHED,Vantaa,Handed to Nordfrakt
119,20,2025-07-18 04:27:35,HUB_SCAN,Vantaa hub,Arrived at terminal
120,20,2025-07-21 07:30:00,OUT_FOR_DELIVERY,Kuopio,
121,20,2025-07-21 12:48:54,DELIVERED,Kuopio,Signed by L. Rantanen
122,21,2025-08-01 10:55:40,PICKED,Vantaa,135 units picked
123,21,2025-08-01 11:55:40,PACKED,Vantaa,1 pallet(s)
124,21,2025-08-04 15:19:40,DISPATCHED,Vantaa,Handed to Kalott Freight
125,21,2025-08-05 05:28:36,HUB_SCAN,Tallinn terminal,Arrived at terminal
126,21,2025-08-08 07:26:00,OUT_FOR_DELIVERY,Tallinn,
127,21,2025-08-08 15:04:41,DELIVERED,Tallinn,Signed at goods entrance
128,22,2025-07-11 10:44:08,PICKED,Göteborg,22 units picked
129,22,2025-07-11 14:44:08,PACKED,Göteborg,4 parcel(s)
130,22,2025-07-14 18:49:51,DISPATCHED,Göteborg,Handed to Nordfrakt
131,22,2025-07-15 06:33:21,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
132,22,2025-07-16 13:26:34,DELAYED,"Alnabru terminal, Oslo","Address query, awaiting receiver"
133,22,2025-07-18 07:09:00,OUT_FOR_DELIVERY,Drammen,
134,22,2025-07-18 10:11:30,DELIVERED,Drammen,Left at loading bay as instructed
135,23,2025-07-03 11:45:19,PICKED,Vantaa,31 units picked
136,23,2025-07-03 12:45:19,PACKED,Vantaa,1 pallet(s)
137,23,2025-07-04 16:18:49,DISPATCHED,Vantaa,Handed to Baltic Freight Line
138,23,2025-07-07 03:11:38,HUB_SCAN,Vantaa hub,Arrived at terminal
139,23,2025-07-07 07:38:00,OUT_FOR_DELIVERY,Tampere,
140,23,2025-07-07 12:02:00,DELIVERED,Tampere,Left at loading bay as instructed
141,24,2025-07-17 11:28:53,PICKED,Vantaa,39 units picked
142,24,2025-07-17 12:28:53,PACKED,Vantaa,1 pallet(s)
143,24,2025-07-18 16:11:03,DISPATCHED,Vantaa,Handed to Polarpost
144,24,2025-07-21 03:49:13,HUB_SCAN,Vantaa hub,Arrived at terminal
145,24,2025-07-21 07:18:00,OUT_FOR_DELIVERY,Vaasa,
146,24,2025-07-21 15:36:10,DELIVERED,Vaasa,Signed by Riikka Korhonen
147,25,2025-07-15 09:46:38,PICKED,Oslo,38 units picked
148,25,2025-07-15 10:46:38,PACKED,Oslo,1 pallet(s)
149,25,2025-07-16 10:30:32,DISPATCHED,Oslo,Handed to Baltic Freight Line
150,25,2025-07-17 05:17:38,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
151,25,2025-07-21 07:27:00,OUT_FOR_DELIVERY,Kristiansand,
152,25,2025-07-21 10:39:25,DELIVERED,Kristiansand,Signed by I. Hansen
153,26,2025-08-13 08:50:08,PICKED,Oslo,96 units picked
154,26,2025-08-13 10:50:08,PACKED,Oslo,16 parcel(s)
155,26,2025-08-14 15:19:51,DISPATCHED,Oslo,Handed to Baltic Freight Line
156,26,2025-08-15 00:07:11,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
157,26,2025-08-18 07:20:00,OUT_FOR_DELIVERY,Kristiansand,
158,26,2025-08-18 10:47:37,DELIVERED,Kristiansand,Signed at goods entrance
159,27,2025-07-29 11:17:54,PICKED,Oslo,60 units picked
160,27,2025-07-29 12:17:54,PACKED,Oslo,1 pallet(s)
161,27,2025-07-30 13:44:57,DISPATCHED,Oslo,Handed to Nordfrakt
162,27,2025-07-31 00:00:18,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
163,27,2025-08-01 07:45:00,OUT_FOR_DELIVERY,Kristiansand,
164,27,2025-08-01 14:25:07,DELIVERED,Kristiansand,Signed by K. Dahl
165,28,2025-07-16 11:28:06,PICKED,Göteborg,10 units picked
166,28,2025-07-16 14:28:06,PACKED,Göteborg,2 parcel(s)
167,28,2025-07-17 18:44:30,DISPATCHED,Göteborg,Handed to Polarpost
168,28,2025-07-18 03:02:19,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
169,28,2025-07-21 07:25:00,OUT_FOR_DELIVERY,Oslo,
170,28,2025-07-21 09:10:30,DELIVERED,Oslo,Signed at goods entrance
171,29,2025-07-08 07:23:25,PICKED,Göteborg,6 units picked
172,29,2025-07-08 10:23:25,PACKED,Göteborg,1 parcel(s)
173,29,2025-07-09 16:43:55,DISPATCHED,Göteborg,Handed to Polarpost
174,29,2025-07-10 05:13:30,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
175,29,2025-07-14 07:02:00,OUT_FOR_DELIVERY,Kristiansand,
176,29,2025-07-14 15:17:54,DELIVERED,Kristiansand,Signed by Solveig Moen
177,30,2025-07-02 08:56:46,PICKED,Oslo,22 units picked
178,30,2025-07-02 12:56:46,PACKED,Oslo,4 parcel(s)
179,30,2025-07-03 15:28:57,DISPATCHED,Oslo,Handed to Nordfrakt
180,30,2025-07-04 03:12:35,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
181,30,2025-07-04 17:51:24,DELAYED,"Alnabru terminal, Oslo","Address query, awaiting receiver"
182,30,2025-07-07 07:16:00,OUT_FOR_DELIVERY,Kristiansand,
183,30,2025-07-07 12:19:53,DELIVERED,Kristiansand,Signed by Vegard Nilsen
184,31,2025-07-14 07:23:36,PICKED,Göteborg,76 units picked
185,31,2025-07-14 10:23:36,PACKED,Göteborg,1 pallet(s)
186,31,2025-07-15 09:33:32,DISPATCHED,Göteborg,Handed to Polarpost
187,31,2025-07-16 06:00:24,HUB_SCAN,Örebro terminal,Arrived at terminal
188,31,2025-07-16 15:04:02,DELAYED,Örebro terminal,Missed linehaul connection
189,31,2025-07-18 07:07:00,OUT_FOR_DELIVERY,Malmö,
190,31,2025-07-18 12:20:09,DELIVERED,Malmö,Signed by Lovisa Gustafsson
191,32,2025-07-24 06:55:11,PICKED,Göteborg,39 units picked
192,32,2025-07-24 07:55:11,PACKED,Göteborg,2 pallet(s)
193,32,2025-07-25 16:57:22,DISPATCHED,Göteborg,Handed to Polarpost
194,32,2025-07-28 00:11:55,HUB_SCAN,Örebro terminal,Arrived at terminal
195,32,2025-07-28 07:27:00,OUT_FOR_DELIVERY,Uppsala,
196,32,2025-07-28 13:51:15,DELIVERED,Uppsala,Signed by Astrid Nilsson
197,33,2025-07-14 10:15:16,PICKED,Oslo,73 units picked
198,33,2025-07-14 13:15:16,PACKED,Oslo,13 parcel(s)
199,33,2025-07-15 13:43:47,DISPATCHED,Oslo,Handed to Baltic Freight Line
200,33,2025-07-16 00:12:07,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
201,33,2025-07-21 07:53:00,OUT_FOR_DELIVERY,Tromsø,
202,33,2025-07-21 12:50:00,DELIVERED,Tromsø,Signed at goods entrance
203,34,2025-07-15 06:36:42,PICKED,Vantaa,9 units picked
204,34,2025-07-15 09:36:42,PACKED,Vantaa,2 parcel(s)
205,34,2025-07-15 10:35:23,DISPATCHED,Vantaa,Handed to Nordfrakt
206,34,2025-07-16 00:00:07,HUB_SCAN,Vantaa hub,Arrived at terminal
207,34,2025-07-16 07:15:00,OUT_FOR_DELIVERY,Jyväskylä,
208,34,2025-07-16 10:36:06,DELIVERED,Jyväskylä,Signed by Lauri Rantanen
209,35,2025-07-04 07:17:46,PICKED,Göteborg,49 units picked
210,35,2025-07-04 09:17:46,PACKED,Göteborg,9 parcel(s)
211,35,2025-07-07 14:14:32,DISPATCHED,Göteborg,Handed to Botnia Cargo
212,35,2025-07-08 06:50:48,HUB_SCAN,Taulov terminal,Arrived at terminal
213,35,2025-07-09 07:49:00,OUT_FOR_DELIVERY,Aarhus,
214,35,2025-07-09 08:44:56,DELIVERED,Aarhus,Left at loading bay as instructed
215,36,2025-07-30 07:42:27,PICKED,Göteborg,4 units picked
216,36,2025-07-30 11:42:27,PACKED,Göteborg,1 parcel(s)
217,36,2025-07-30 16:55:24,DISPATCHED,Göteborg,Handed to Botnia Cargo
218,36,2025-07-31 05:23:48,HUB_SCAN,Taulov terminal,Arrived at terminal
219,36,2025-08-01 07:26:00,OUT_FOR_DELIVERY,Aarhus,
220,36,2025-08-01 12:19:29,DELIVERED,Aarhus,Signed at goods entrance
221,37,2025-07-24 11:57:57,PICKED,Vantaa,100 units picked
222,37,2025-07-24 15:57:57,PACKED,Vantaa,1 pallet(s)
223,37,2025-07-25 10:14:19,DISPATCHED,Vantaa,Handed to Polarpost
224,37,2025-07-28 02:00:43,HUB_SCAN,Vantaa hub,Arrived at terminal
225,37,2025-07-28 07:19:00,OUT_FOR_DELIVERY,Helsinki,
226,37,2025-07-28 13:58:13,DELIVERED,Helsinki,Signed by J. Korhonen
227,38,2025-07-25 07:42:44,PICKED,Vantaa,35 units picked
228,38,2025-07-25 11:42:44,PACKED,Vantaa,6 parcel(s)
229,38,2025-07-25 10:04:36,DISPATCHED,Vantaa,Handed to Polarpost
230,38,2025-07-28 02:07:18,HUB_SCAN,Vantaa hub,Arrived at terminal
231,38,2025-07-28 07:51:00,OUT_FOR_DELIVERY,Lahti,
232,38,2025-07-28 14:19:16,DELIVERED,Lahti,Signed at goods entrance
233,39,2025-07-01 07:57:21,PICKED,Göteborg,62 units picked
234,39,2025-07-01 09:57:21,PACKED,Göteborg,1 pallet(s)
235,39,2025-07-02 12:03:14,DISPATCHED,Göteborg,Handed to Botnia Cargo
236,39,2025-07-03 01:00:18,HUB_SCAN,Örebro terminal,Arrived at terminal
237,39,2025-07-03 07:27:00,OUT_FOR_DELIVERY,Uppsala,
238,39,2025-07-03 15:50:11,DELIVERED,Uppsala,Signed by E. Larsson
239,40,2025-07-25 11:28:51,PICKED,Vantaa,31 units picked
240,40,2025-07-25 13:28:51,PACKED,Vantaa,6 parcel(s)
241,40,2025-07-28 12:47:29,DISPATCHED,Vantaa,Handed to Nordfrakt
242,40,2025-07-29 00:22:31,HUB_SCAN,Vantaa hub,Arrived at terminal
243,40,2025-07-30 07:23:00,OUT_FOR_DELIVERY,Lahti,
244,40,2025-07-30 15:06:26,DELIVERED,Lahti,Left at loading bay as instructed
245,41,2025-07-09 06:24:28,PICKED,Göteborg,38 units picked
246,41,2025-07-09 09:24:28,PACKED,Göteborg,7 parcel(s)
247,41,2025-07-09 14:28:41,DISPATCHED,Göteborg,Handed to Polarpost
248,41,2025-07-10 02:39:28,HUB_SCAN,Örebro terminal,Arrived at terminal
249,41,2025-07-11 07:31:00,OUT_FOR_DELIVERY,Karlstad,
250,41,2025-07-11 14:30:52,DELIVERED,Karlstad,Signed by Lovisa Lundqvist
251,42,2025-07-04 07:23:22,PICKED,Göteborg,15 units picked
252,42,2025-07-04 11:23:22,PACKED,Göteborg,3 parcel(s)
253,42,2025-07-07 16:28:10,DISPATCHED,Göteborg,Handed to Baltic Freight Line
254,42,2025-07-08 06:14:29,HUB_SCAN,Örebro terminal,Arrived at terminal
255,42,2025-07-09 07:53:00,OUT_FOR_DELIVERY,Uppsala,
256,42,2025-07-09 15:12:24,DELIVERED,Uppsala,Left at loading bay as instructed
257,43,2025-07-31 10:15:03,PICKED,Göteborg,104 units picked
258,43,2025-07-31 11:15:03,PACKED,Göteborg,1 pallet(s)
259,43,2025-08-01 16:14:07,DISPATCHED,Göteborg,Handed to Nordfrakt
260,43,2025-08-04 00:38:33,HUB_SCAN,Örebro terminal,Arrived at terminal
261,43,2025-08-04 07:11:00,OUT_FOR_DELIVERY,Karlstad,
262,43,2025-08-04 09:08:33,DELIVERED,Karlstad,Signed by U. Strand
263,44,2025-07-04 08:07:04,PICKED,Vantaa,84 units picked
264,44,2025-07-04 12:07:04,PACKED,Vantaa,1 pallet(s)
265,44,2025-07-04 18:27:15,DISPATCHED,Vantaa,Handed to Botnia Cargo
266,44,2025-07-07 06:55:52,HUB_SCAN,Vantaa hub,Arrived at terminal
267,44,2025-07-07 07:42:00,OUT_FOR_DELIVERY,Helsinki,
268,44,2025-07-07 08:26:21,DELIVERED,Helsinki,Left at loading bay as instructed
269,45,2025-08-04 06:49:38,PICKED,Vantaa,84 units picked
270,45,2025-08-04 09:49:38,PACKED,Vantaa,14 parcel(s)
271,45,2025-08-05 12:23:10,DISPATCHED,Vantaa,Handed to Nordfrakt
272,45,2025-08-06 03:14:16,HUB_SCAN,Vantaa hub,Arrived at terminal
273,45,2025-08-07 07:43:00,OUT_FOR_DELIVERY,Kokkola,
274,45,2025-08-07 08:32:09,DELIVERED,Kokkola,Signed by Juhani Kallio
275,46,2025-07-11 07:37:21,PICKED,Göteborg,272 units picked
276,46,2025-07-11 10:37:21,PACKED,Göteborg,1 pallet(s)
277,46,2025-07-14 18:16:34,DISPATCHED,Göteborg,Handed to Polarpost
278,46,2025-07-15 03:35:38,HUB_SCAN,Hamburg hub,Arrived at terminal
279,46,2025-07-15 19:48:51,DELAYED,Hamburg hub,"Address query, awaiting receiver"
280,46,2025-07-22 07:44:00,OUT_FOR_DELIVERY,Berlin,
281,46,2025-07-22 13:47:19,DELIVERED,Berlin,Signed by Lena Müller
282,47,2025-07-16 06:31:00,PICKED,Göteborg,42 units picked
283,47,2025-07-16 07:31:00,PACKED,Göteborg,7 parcel(s)
284,47,2025-07-16 14:57:56,DISPATCHED,Göteborg,Handed to Nordfrakt
285,47,2025-07-17 05:33:52,HUB_SCAN,Örebro terminal,Arrived at terminal
286,47,2025-07-21 07:27:00,OUT_FOR_DELIVERY,Sundsvall,
287,47,2025-07-21 10:03:28,DELIVERED,Sundsvall,Signed by Per Johansson
288,48,2025-07-18 09:23:18,PICKED,Göteborg,16 units picked
289,48,2025-07-18 11:23:18,PACKED,Göteborg,3 parcel(s)
290,48,2025-07-21 18:55:40,DISPATCHED,Göteborg,Handed to Nordfrakt
291,48,2025-07-22 06:20:33,HUB_SCAN,Örebro terminal,Arrived at terminal
292,48,2025-07-24 07:07:00,OUT_FOR_DELIVERY,Linköping,
293,48,2025-07-24 11:52:15,DELIVERED,Linköping,Signed by Oskar Gustafsson
294,49,2025-07-30 07:39:32,PICKED,Göteborg,76 units picked
295,49,2025-07-30 09:39:32,PACKED,Göteborg,13 parcel(s)
296,49,2025-07-30 12:22:58,DISPATCHED,Göteborg,Handed to Kalott Freight
297,49,2025-07-31 06:06:11,HUB_SCAN,Örebro terminal,Arrived at terminal
298,49,2025-08-04 07:21:00,OUT_FOR_DELIVERY,Örebro,
299,49,2025-08-04 09:31:34,DELIVERED,Örebro,Signed at goods entrance
300,50,2025-07-08 08:01:45,PICKED,Göteborg,69 units picked
301,50,2025-07-08 10:01:45,PACKED,Göteborg,12 parcel(s)
302,50,2025-07-09 13:23:35,DISPATCHED,Göteborg,Handed to Kalott Freight
303,50,2025-07-10 04:02:43,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
304,50,2025-07-11 07:12:00,OUT_FOR_DELIVERY,Bergen,
305,50,2025-07-11 15:31:23,DELIVERED,Bergen,Signed by Sigrid Johansen
306,51,2025-07-07 11:14:45,PICKED,Göteborg,157 units picked
307,51,2025-07-07 13:14:45,PACKED,Göteborg,1 pallet(s)
308,51,2025-07-07 10:09:38,DISPATCHED,Göteborg,Handed to Polarpost
309,51,2025-07-08 05:49:13,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
310,51,2025-07-10 07:07:00,OUT_FOR_DELIVERY,Hamar,
311,51,2025-07-10 10:34:31,DELIVERED,Hamar,Signed at goods entrance
312,52,2025-07-28 10:51:34,PICKED,Göteborg,18 units picked
313,52,2025-07-28 11:51:34,PACKED,Göteborg,3 parcel(s)
314,52,2025-07-29 15:38:03,DISPATCHED,Göteborg,Handed to Kalott Freight
315,52,2025-07-30 03:20:02,HUB_SCAN,Taulov terminal,Arrived at terminal
316,52,2025-07-31 07:27:00,OUT_FOR_DELIVERY,Aarhus,
317,52,2025-07-31 15:39:52,DELIVERED,Aarhus,Signed at goods entrance
318,53,2025-07-18 08:48:33,PICKED,Göteborg,213 units picked
319,53,2025-07-18 12:48:33,PACKED,Göteborg,1 pallet(s)
320,53,2025-07-18 15:07:18,DISPATCHED,Göteborg,Handed to Kalott Freight
321,53,2025-07-21 00:53:12,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
322,53,2025-07-22 07:57:00,OUT_FOR_DELIVERY,Bodø,
323,53,2025-07-22 14:15:06,DELIVERED,Bodø,Left at loading bay as instructed
324,54,2025-07-04 08:35:36,PICKED,Oslo,90 units picked
325,54,2025-07-04 10:35:36,PACKED,Oslo,1 pallet(s)
326,54,2025-07-07 11:16:00,DISPATCHED,Oslo,Handed to Kalott Freight
327,54,2025-07-08 01:20:33,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
328,54,2025-07-10 07:55:00,OUT_FOR_DELIVERY,Drammen,
329,54,2025-07-10 09:54:50,DELIVERED,Drammen,Signed at goods entrance
330,55,2025-07-07 08:12:05,PICKED,Oslo,18 units picked
331,55,2025-07-07 12:12:05,PACKED,Oslo,3 parcel(s)
332,55,2025-07-08 17:51:02,DISPATCHED,Oslo,Handed to Kalott Freight
333,55,2025-07-09 03:21:59,HUB_SCAN,"Alnabru terminal, Oslo",Arrived at terminal
334,55,2025-07-11 07:32:00,OUT_FOR_DELIVERY,Alta,
335,55,2025-07-11 15:41:04,DELIVERED,Alta,Signed by S. Haugen
336,56,2025-07-28 06:54:21,PICKED,Göteborg,12 units picked
337,56,2025-07-28 08:54:21,PACKED,Göteborg,2 parcel(s)
338,56,2025-07-29 12:29:15,DISPATCHED,Göteborg,Handed to Nordfrakt
339,56,2025-07-30 02:14:51,HUB_SCAN,Örebro terminal,Arrived at terminal
340,56,2025-07-30 07:39:00,OUT_FOR_DELIVERY,Örebro,
341,56,2025-07-30 09:13:02,DELIVERED,Örebro,Signed by K. Johansson
342,57,2025-08-07 07:45:27,PICKED,Göteborg,5 units picked
343,57,2025-08-07 09:45:27,PACKED,Göteborg,1 parcel(s)
344,57,2025-08-08 10:31:09,DISPATCHED,Göteborg,Handed to Nordfrakt
345,57,2025-08-11 04:59:11,HUB_SCAN,Örebro terminal,Arrived at terminal
346,57,2025-08-11 07:33:00,OUT_FOR_DELIVERY,Örebro,
347,57,2025-08-11 08:06:18,DELIVERED,Örebro,Left at loading bay as instructed
348,58,2025-07-23 06:02:56,PICKED,Vantaa,12 units picked
349,58,2025-07-23 08:02:56,PACKED,Vantaa,2 parcel(s)
350,58,2025-07-23 12:16:50,DISPATCHED,Vantaa,Handed to Havnelast
