id,claim_id,order_line_id,product_id,quantity_affected,pallet_number,amount,issue_note
225,219,13135,3164,24,,3237.60,Wrong size
226,219,13133,464,2,,24.68,Wrong model
227,220,13145,381,1,,2.26,Inner pack incomplete
228,222,13202,1738,12,1,1138.80,stitching failed on the shoulder strap
229,222,13201,3037,2,1,38.62,zip slider broke after a few uses
230,223,13220,286,12,,163.68,Torn outer wrap
231,225,13332,752,9,,530.10,Carton crushed
232,226,13381,2193,5,,632.50,colour bleeding after first wash
233,226,13382,779,1,,4.07,"valve leaks, mat deflates overnight"
234,227,13407,1164,6,,48.89,Unit price disputed
235,228,13547,2256,1,,26.67,Carton crushed
236,229,13576,2571,20,1,1598.00,Wrong model
237,230,13649,2575,4,,1208.00,pole segment split at the joint
238,232,13709,3032,1,,33.45,Product surface scratched
239,232,13710,1001,24,,2253.60,Contents leaked
240,232,13711,380,1,,2.24,Carton crushed
241,233,13883,126,10,,99.48,Unit price disputed
242,234,13976,442,96,1,1365.12,Unit price disputed
243,235,14101,224,48,1,3355.20,zip slider broke after a few uses
244,235,14103,1824,1,1,152.00,"valve leaks, mat deflates overnight"
245,236,14179,1808,3,1,1028.70,Wet packaging
246,236,14177,566,1,1,3.18,Carton crushed
247,237,14228,2394,1,,39.44,Contents leaked
248,237,14226,2553,5,,619.50,Wet packaging
249,237,14227,1153,20,,1300.00,Product surface scratched
250,239,14292,1071,6,,666.00,Wrong colour
251,240,14395,907,3,,6.78,Product surface scratched
252,241,14455,1227,2,,477.80,Carton crushed
253,242,14461,1206,3,,627.00,stitching failed on the shoulder strap
254,244,14628,883,1,,57.50,Product surface scratched
255,244,14626,1410,12,,234.48,Contents leaked
256,245,14639,968,12,1,672.34,Unit price disputed
257,246,14649,2384,1,1,29.50,sole separating from the upper
258,246,14648,203,6,1,1163.40,stitching failed on the shoulder strap
259,247,14655,823,30,1,630.00,Inner pack incomplete
260,247,14656,811,2,1,38.72,Short against packing list
261,247,14654,629,24,1,9165.60,Short against packing list
262,248,14713,1721,1,,6.57,Carton crushed
263,248,14714,416,9,,863.10,Torn outer wrap
264,249,14715,1133,3,,165.00,buckle cracked in the cold
265,249,14716,1535,6,,419.40,pole segment split at the joint
266,250,14799,1520,2,1,4.56,Short against packing list
267,250,14795,1578,1,1,66.90,Inner pack incomplete
268,251,14811,2526,20,,15.43,Unit price disputed
269,252,14824,1032,3,1,190.50,Torn outer wrap
270,255,15012,2083,18,,579.60,Contents leaked
271,256,15030,1253,4,,243.60,Product surface scratched
272,257,15149,167,5,1,654.50,Carton crushed
273,258,15170,1818,1,1,177.00,Wet packaging
274,258,15168,796,12,1,31.08,Torn outer wrap
275,259,15186,739,8,,872.00,Wrong model
276,259,15185,2946,1,,77.90,Wrong size
277,260,15430,377,30,,47.88,Unit price disputed
278,261,15455,757,1,,61.50,Carton crushed
279,266,16146,1591,1,,5.80,Torn outer wrap
280,266,16149,372,1,,16.08,Product surface scratched
281,267,16307,1071,2,,222.00,Torn outer wrap
282,268,16350,944,3,,74.64,seam tape peeling on the inside
283,269,16442,2723,10,,36.10,Wet packaging
284,270,16469,2766,1,,43.98,Carton missing
285,271,16543,167,1,,130.90,Carton missing
286,272,16558,239,6,,719.40,Inner pack incomplete
287,273,16624,1628,9,1,62.64,Torn outer wrap
288,274,16625,433,3,1,490.50,Product surface scratched
289,274,16627,2378,9,1,693.00,Torn outer wrap
290,275,16842,2335,2,,23.26,colour bleeding after first wash
291,275,16844,896,18,,1834.20,sole separating from the upper
292,275,16843,1114,9,,639.00,stitching failed on the shoulder strap
293,276,16926,223,10,,535.00,pole segment split at the joint
294,277,16935,2188,12,,1738.80,Wrong colour
295,278,16973,1752,1,,124.90,Product surface scratched
296,279,17018,1863,2,,101.80,buckle cracked in the cold
297,279,17019,1764,1,,129.00,"valve leaks, mat deflates overnight"
298,280,17038,480,18,,872.10,Product surface scratched
299,280,17037,3128,1,,77.90,Product surface scratched
300,280,17035,2329,12,,161.04,Contents leaked
301,281,17078,462,3,,171.00,"valve leaks, mat deflates overnight"
302,282,17119,2997,1,,6.27,Short against packing list
303,282,17120,1248,2,,417.80,Carton missing
304,283,17286,2600,3,,109.89,zip slider broke after a few uses
305,284,17296,1284,12,,744.00,Contents leaked
306,284,17298,2970,1,,8.96,Torn outer wrap
307,285,17321,216,1,,50.90,Wet packaging
308,285,17318,671,1,,46.30,Wet packaging
309,285,17320,2953,1,,4.64,Torn outer wrap
310,287,17583,735,20,,818.80,Wrong model
311,288,17748,2397,18,,5031.00,Product surface scratched
312,288,17745,946,1,,161.90,Torn outer wrap
313,289,17938,3184,6,1,79.56,Carton crushed
314,292,18154,3046,2,,7.50,Carton missing
315,292,18155,1726,1,,37.90,Inner pack incomplete
316,293,18254,2571,6,,479.40,seam tape peeling on the inside
317,294,18272,1485,24,,616.32,Unit price disputed
318,295,18341,193,1,,99.50,Carton missing
319,295,18339,2124,6,,395.40,Inner pack incomplete
320,295,18340,1161,6,,465.00,Carton missing
321,296,18368,1439,5,1,299.50,sole separating from the upper
322,296,18369,594,24,1,211.68,pole segment split at the joint
323,299,18908,1002,2,1,235.00,Inner pack incomplete
324,300,18933,1003,1,,314.90,Carton crushed
325,301,18935,767,6,,198.36,Carton missing
326,302,18962,693,2,1,173.80,seam tape peeling on the inside
327,302,18959,2628,1,1,83.90,sole separating from the upper
328,302,18955,730,4,1,444.00,"valve leaks, mat deflates overnight"
329,303,19140,262,3,,113.88,Wrong model
330,304,19148,837,2,,27.30,Carton crushed
331,306,19307,271,1,1,7.21,Product surface scratched
332,307,19325,2720,6,,53.70,Wrong size
333,307,19326,76,10,,1630.00,Wrong model
334,308,19461,2519,1,,11.72,Carton missing
335,308,19463,1626,1,,61.00,Carton missing
336,309,19611,1948,30,,13.25,Unit price disputed
337,310,19675,784,4,,24.80,Torn outer wrap
338,310,19679,3037,4,,77.24,Torn outer wrap
339,311,19722,2782,12,,22.55,Unit price disputed
340,312,19866,2630,3,,246.00,Carton missing
341,312,19868,2505,1,,6.29,Inner pack incomplete
342,313,19959,1034,3,,53.96,Unit price disputed
343,314,19987,2310,15,1,177.75,Short against packing list
344,314,19991,55,5,1,297.50,Inner pack incomplete
345,315,20000,3125,10,1,959.00,Carton crushed
346,317,20071,1583,48,1,10848.00,Short against packing list
347,317,20072,901,1,1,9.11,Inner pack incomplete
348,318,20126,2610,15,1,1290.00,colour bleeding after first wash
349,319,20202,1176,1,2,83.50,Product surface scratched
350,320,20263,2645,8,,149.66,Unit price disputed
351,321,20313,2394,12,1,473.28,Wrong model
352,322,20400,2413,1,,101.90,Product surface scratched
353,322,20399,1631,5,,324.50,Contents leaked
354,323,20403,2715,5,,11.95,Wrong colour
355,323,20402,1067,4,,751.60,Wrong size
356,324,20447,288,1,,11.18,zip slider broke after a few uses
357,325,20454,1899,24,,550.32,seam tape peeling on the inside
358,328,20562,1925,3,,17.04,Product surface scratched
359,329,20598,2272,30,,81.60,Contents leaked
360,329,20600,2061,5,,480.00,Torn outer wrap
361,330,20618,171,4,,211.60,Torn outer wrap
362,331,20706,997,2,,167.80,zip slider broke after a few uses
363,333,20938,1975,12,,1150.80,"valve leaks, mat deflates overnight"
364,335,21070,1622,5,,70.20,Wrong colour
365,335,21069,488,6,,591.00,Wrong model
366,336,21127,666,1,,254.90,Contents leaked
367,336,21128,2031,6,,575.40,Torn outer wrap
368,337,21199,271,6,,45.84,Short against packing list
369,337,21200,2464,12,,5082.00,Carton missing
370,338,21212,2901,20,,465.40,Inner pack incomplete
371,338,21213,1263,1,,118.00,Carton missing
372,338,21214,1246,7,,1536.50,Short against packing list
373,339,21309,1485,3,1,642.00,zip slider broke after a few uses
374,339,21310,676,18,1,3076.20,colour bleeding after first wash
375,340,21319,1485,6,,1284.00,Wrong model
376,341,21454,2900,3,1,60.60,Product surface scratched
377,341,21456,1214,4,1,815.60,Torn outer wrap
378,342,21770,1371,1,,13.62,Torn outer wrap
379,342,21772,2221,1,,41.88,Wet packaging
380,344,21803,2310,1,1,11.85,Short against packing list
381,344,21811,1080,12,1,2364.00,Carton missing
382,345,21833,1315,8,,60.48,Unit price disputed
383,346,21837,3036,7,1,146.51,seam tape peeling on the inside
384,347,21910,229,3,1,31.35,Contents leaked
385,348,22129,964,2,,167.80,Short against packing list
386,348,22130,2701,3,,81.60,Short against packing list
387,348,22128,880,1,,16.40,Inner pack incomplete
388,349,22289,793,1,,117.50,Carton missing
389,349,22290,2075,1,,80.50,Short against packing list
390,350,22365,2518,1,1,2.47,Inner pack incomplete
391,351,22420,2662,1,,69.50,Carton missing
392,352,22422,3092,12,1,5134.80,Unsold stock
393,352,22421,202,1,1,170.90,Unsold stock
394,352,22424,1295,6,1,462.00,Unsold stock
395,353,22448,999,1,,45.45,colour bleeding after first wash
396,354,22451,462,2,,114.00,Inner pack incomplete
397,354,22452,1388,1,,4.99,Short against packing list
398,355,22474,2630,9,,738.00,Short against packing list
399,357,22501,2796,1,1,11.72,Wrong colour
400,358,22533,722,9,,611.10,Product surface scratched
401,358,22536,1282,1,,54.00,Contents leaked
402,358,22535,2195,1,,109.90,Carton crushed
403,359,22623,731,6,,79.92,Unit price disputed
404,360,22716,926,3,,1394.70,colour bleeding after first wash
405,360,22715,2906,12,,1530.00,stitching failed on the shoulder strap
406,361,22751,3176,20,1,184.60,Wrong size
407,362,22813,3156,1,,122.00,Product surface scratched
408,362,22814,491,3,,124.77,Wet packaging
409,363,22817,2766,2,1,87.96,Wrong colour
410,363,22818,2944,48,1,4267.20,Wrong colour
411,365,22890,713,1,,97.50,Carton missing
412,366,22998,1789,4,,843.60,Wrong model
413,366,23000,344,18,,40.86,Wrong model
414,366,22997,1084,5,,1314.50,Wrong colour
415,367,23018,2533,1,1,6.52,Inner pack incomplete
416,367,23010,2891,30,1,1800.00,Carton missing
417,368,23033,1516,10,,525.00,Carton crushed
418,369,23045,1946,1,,4.08,Torn outer wrap
419,371,23091,1986,9,1,1358.10,Carton missing
420,372,23129,560,2,,12.62,Wrong model
421,373,23179,14,5,,136.20,Unit price disputed
422,374,23220,183,3,,109.80,buckle cracked in the cold
423,374,23218,563,10,,60.70,sole separating from the upper
424,374,23219,346,2,,4.14,"valve leaks, mat deflates overnight"
425,375,23238,2977,1,,12.31,Contents leaked
426,376,23373,99,6,1,192.60,sole separating from the upper
427,377,23380,2564,5,1,929.50,Contents leaked
428,377,23385,1204,9,1,1525.50,Torn outer wrap
429,377,23384,3107,2,1,1417.80,Wet packaging
430,379,23434,2468,12,,1020.00,Wet packaging
431,381,23545,339,1,,5.75,Contents leaked
432,383,23830,983,24,1,3612.00,zip slider broke after a few uses
433,383,23833,2521,9,1,226.35,pole segment split at the joint
434,383,23829,2645,3,1,467.70,sole separating from the upper
435,384,23957,684,2,,75.56,Wrong model
436,385,23985,644,2,,117.80,Wet packaging
437,386,23986,469,15,1,662.85,Unsold stock
438,390,24127,3184,18,,238.68,Wrong size
439,391,24132,293,1,,100.90,Unsold stock
440,391,24131,2509,3,,245.70,Unsold stock
441,392,24202,2114,24,1,426.96,Short against packing list
442,393,24227,1553,6,,90.72,Unit price disputed
443,394,24433,1510,6,1,329.40,Wet packaging
444,394,24434,2999,6,1,183.72,Product surface scratched
445,395,24704,742,1,1,71.00,Unsold stock
446,395,24705,1885,48,1,6360.00,Unsold stock
447,396,24883,660,4,1,628.00,Product surface scratched
448,398,24987,2645,1,,155.90,Torn outer wrap
449,399,24991,2501,1,,10.92,Wrong colour
450,399,24990,327,36,,444.24,Wrong model
451,399,24988,1461,5,,232.95,Wrong colour
452,400,25252,1660,2,,809.00,Product surface scratched
453,400,25250,1184,3,,124.32,Torn outer wrap
454,400,25251,2527,3,,29.43,Wet packaging
455,401,25359,2251,8,1,64.64,Wrong colour
456,402,25388,1015,6,,390.00,Wrong colour
457,402,25389,510,24,,1245.60,Wrong colour
458,403,25426,3073,20,1,4678.00,sole separating from the upper
459,403,25425,593,15,1,404.85,colour bleeding after first wash
460,405,25505,2827,4,,323.60,Wet packaging
461,405,25504,3003,10,,1290.00,Carton crushed
462,405,25502,2041,1,,616.50,Contents leaked
463,406,25523,193,1,,101.90,Wet packaging
464,408,25591,2716,9,,40.59,seam tape peeling on the inside
465,410,25604,2360,3,1,227.70,Product surface scratched
466,410,25608,1633,15,1,108.75,Carton crushed
467,410,25607,1198,3,1,533.70,Torn outer wrap
468,411,25639,445,1,,138.90,Unsold stock
469,412,25841,1354,1,,22.69,Inner pack incomplete
470,413,25987,1880,24,1,6285.60,Wrong colour
471,413,25989,481,20,1,656.80,Wrong size
472,414,26092,492,3,1,154.50,Carton missing
473,415,26450,2766,2,,10.56,Unit price disputed
474,416,26454,2946,3,,243.00,sole separating from the upper
475,417,26464,179,1,1,132.50,buckle cracked in the cold
476,417,26465,2651,10,1,999.00,zip slider broke after a few uses
477,418,26542,2272,36,,97.92,stitching failed on the shoulder strap
478,418,26540,458,12,,132.36,seam tape peeling on the inside
479,420,26597,3114,4,,432.00,Contents leaked
480,421,26691,2871,3,,95.07,Product surface scratched
481,421,26688,1633,3,,21.75,Torn outer wrap
482,424,27063,832,2,,27.00,Unit price disputed
483,425,27123,843,1,1,163.00,Torn outer wrap
484,425,27121,1065,36,1,5544.00,Torn outer wrap
485,427,27179,519,10,,199.00,Product surface scratched
486,427,27177,498,12,,934.80,Carton crushed
487,429,27232,2112,3,,53.70,Wet packaging
488,429,27234,2948,5,,529.50,Wet packaging
489,429,27233,2867,24,,1044.00,Torn outer wrap
490,430,27360,3164,18,1,2428.20,Contents leaked
491,431,27410,2219,96,1,4634.88,Wrong size
492,432,27448,2944,3,,266.70,Carton missing
493,434,27520,671,12,,572.28,Wet packaging
494,437,27678,1312,12,,139.54,Unit price disputed
495,438,27698,116,1,1,285.50,Carton missing
496,439,27718,2620,24,1,5112.00,Wrong size
497,440,27754,141,6,1,389.40,Short against packing list
498,440,27750,1398,1,1,11.32,Short against packing list
499,441,27844,2645,1,,18.71,Unit price disputed
500,442,27889,2860,4,,178.60,Unsold stock
501,443,27907,2251,2,,16.16,Wrong size
502,444,27987,2986,1,,73.90,Unsold stock
503,444,27988,205,3,,463.50,Unsold stock
504,444,27989,202,4,,683.60,Unsold stock
505,445,28016,1362,12,,32.04,Carton crushed
506,445,28017,1199,24,,4152.00,Contents leaked
507,447,28047,1181,3,,54.90,Torn outer wrap
508,447,28046,3131,12,,1834.80,Carton crushed
509,447,28044,1894,30,,726.30,Carton crushed
510,448,28071,2069,24,,432.96,Wrong size
511,449,28142,2464,6,,2541.00,Unsold stock
512,450,28144,1739,7,,742.00,Torn outer wrap
513,451,28173,2610,24,1,260.64,Unit price disputed
514,453,28334,2163,2,1,253.80,Inner pack incomplete
515,454,28360,1224,3,,580.50,Wet packaging
516,455,28364,563,2,,12.14,Wrong colour
517,455,28363,2771,3,,100.92,Wrong colour
518,455,28362,672,12,,658.80,Wrong model
519,456,28381,2975,9,,64.62,Carton crushed
520,457,28398,2434,2,,239.00,Wrong size
521,458,28413,830,2,,54.12,Wet packaging
522,458,28412,906,10,,81.50,Torn outer wrap
523,459,28681,2800,24,1,277.92,Short against packing list
524,459,28678,924,10,1,2059.00,Short against packing list
525,460,28689,3090,4,1,1411.60,Contents leaked
526,460,28690,274,3,1,908.70,Contents leaked
527,463,28772,2890,1,,64.90,Wet packaging
528,463,28773,2338,6,,62.10,Wet packaging
529,464,28800,1692,2,1,12.44,Carton missing
530,467,29017,513,2,1,22.98,Torn outer wrap
531,467,29021,1211,1,1,158.00,Contents leaked
532,468,29041,1612,1,,10.09,stitching failed on the shoulder strap
533,469,29208,944,1,,24.88,Wrong model
534,470,29284,271,5,,38.20,Unsold stock
535,470,29286,2642,12,,1026.00,Unsold stock
536,471,29287,381,3,,6.78,Wrong colour
537,472,29289,286,6,1,77.76,Unsold stock
538,473,29324,719,24,1,1845.60,Wet packaging
539,473,29319,503,3,1,40.35,Product surface scratched
540,474,29350,249,2,1,12.36,Unit price disputed
541,476,29528,894,12,,32.28,Torn outer wrap
542,477,29584,292,1,,85.00,Carton missing
543,478,29654,244,2,1,559.80,Unsold stock
544,479,29670,410,48,1,12264.00,Carton missing
545,479,29666,131,4,1,810.00,Short against packing list
546,479,29667,839,1,1,11.56,Carton missing
547,480,29738,2944,12,,852.00,Contents leaked
548,480,29737,2645,10,,1559.00,Contents leaked
549,481,29851,2946,2,,162.00,Wrong size
550,481,29850,3134,6,,461.40,Wrong colour
551,482,29915,1555,3,,479.70,Carton missing
552,484,30159,771,24,,441.60,Carton crushed
